"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2023","615.20","608.00","619.40","605.20","5.17K","0.42%"
"12/18/2023","612.60","622.60","623.20","610.40","5.43K","-2.27%"
"12/15/2023","626.80","634.00","638.70","622.80","3.22K","-0.60%"
"12/14/2023","630.60","629.30","632.80","611.20","7.61K","0.48%"
"12/13/2023","627.60","641.70","655.30","625.10","6.87K","-1.89%"
"12/12/2023","639.70","632.40","641.70","617.70","8.15K","0.31%"
"12/11/2023","637.70","652.30","653.00","632.20","8.30K","-2.55%"
"12/08/2023","654.40","653.90","659.60","648.20","5.54K","1.28%"
"12/07/2023","646.10","655.40","668.50","645.00","12.33K","0.39%"
"12/06/2023","643.60","691.10","692.20","642.00","17.12K","-6.93%"
"12/05/2023","691.50","706.40","713.90","690.00","8.29K","-2.54%"
"12/04/2023","709.50","695.30","713.60","686.50","10.61K","1.82%"
"12/01/2023","696.80","715.10","715.20","693.10","13.95K","-2.83%"
"11/30/2023","717.10","732.00","733.00","714.20","9.40K","-2.40%"
"11/29/2023","734.70","739.30","740.50","733.70","3.02K","-0.47%"
"11/28/2023","738.20","744.00","744.00","733.50","6.29K","-0.99%"
"11/27/2023","745.60","736.00","748.70","735.00","6.56K","1.03%"
"11/24/2023","738.00","742.20","745.50","735.90","6.32K","-1.09%"
"11/23/2023","746.10","742.70","749.00","740.80","1.37K","0.70%"
"11/22/2023","740.90","750.00","751.00","740.00","4.58K","-1.11%"
"11/21/2023","749.20","748.00","750.00","743.80","2.63K","0.38%"
"11/20/2023","746.40","737.50","747.40","735.40","3.69K","1.33%"
"11/17/2023","736.60","734.70","737.80","731.00","2.84K","0.40%"
"11/16/2023","733.70","733.50","739.70","730.30","3.80K","-1.73%"
"11/15/2023","746.60","747.30","750.50","738.80","0.48K","0.44%"
"11/14/2023","743.30","756.90","758.60","740.00","2.58K","-1.72%"
"11/13/2023","756.30","748.50","757.60","746.00","5.93K","1.20%"
"11/10/2023","747.30","758.10","759.90","746.90","6.84K","-1.23%"
"11/09/2023","756.60","750.10","760.50","747.00","3.87K","1.01%"
"11/08/2023","749.00","752.40","752.40","744.10","7.21K","-0.45%"
"11/07/2023","752.40","763.40","772.90","751.30","6.49K","-1.44%"
"11/06/2023","763.40","758.50","767.40","755.60","6.35K","0.77%"
"11/03/2023","757.60","746.40","758.80","742.40","5.77K","1.69%"
"11/02/2023","745.00","753.50","754.80","737.50","5.77K","-0.59%"
"11/01/2023","749.40","733.80","757.60","732.30","10.93K","2.24%"
"10/31/2023","733.00","727.00","737.70","723.90","5.08K","1.05%"
"10/30/2023","725.40","741.60","742.30","723.40","4.52K","-2.21%"
"10/27/2023","741.80","735.10","743.80","733.00","4.73K","1.04%"
"10/26/2023","734.20","745.80","747.70","733.70","4.63K","-1.66%"
"10/25/2023","746.60","745.50","754.30","740.30","4.13K","0.15%"
"10/24/2023","745.50","743.70","748.90","740.40","2.59K","0.36%"
"10/23/2023","742.80","725.00","744.90","718.00","4.95K","2.24%"
"10/20/2023","726.50","736.20","737.50","725.30","3.56K","-1.53%"
"10/19/2023","737.80","739.10","740.60","728.20","4.00K","-0.54%"
"10/18/2023","741.80","740.00","749.00","735.60","8.26K","0.39%"
"10/17/2023","738.90","728.80","741.50","727.00","4.79K","1.92%"
"10/16/2023","725.00","725.60","728.90","719.40","3.61K","-0.32%"
"10/13/2023","727.30","715.40","729.80","712.30","4.47K","2.26%"
"10/12/2023","711.20","707.70","719.10","704.20","4.02K","0.27%"
"10/11/2023","709.30","720.80","724.00","707.20","4.91K","-1.45%"
"10/10/2023","719.70","723.40","725.00","713.10","5.16K","-0.19%"
"10/09/2023","721.10","712.60","722.30","710.80","4.16K","1.68%"
"10/06/2023","709.20","700.10","711.00","697.50","4.19K","1.71%"
"10/05/2023","697.30","692.10","704.60","689.70","3.71K","0.88%"
"10/04/2023","691.20","685.50","699.90","679.00","5.75K","0.30%"
"10/03/2023","689.10","700.60","703.50","687.30","10.76K","-1.80%"
"10/02/2023","701.70","705.50","716.20","700.40","6.21K","-0.59%"
"09/29/2023","705.90","717.30","721.80","703.00","6.00K","-1.49%"
"09/28/2023","716.60","709.00","718.00","704.20","5.60K","1.03%"
"09/27/2023","709.30","709.50","714.80","707.00","5.13K","-0.20%"
"09/26/2023","710.70","718.10","719.40","709.60","4.78K","-1.03%"
"09/25/2023","718.10","729.80","731.20","715.00","4.55K","-1.74%"
"09/22/2023","730.80","731.50","741.10","728.20","4.03K","-0.27%"
"09/21/2023","732.80","724.80","734.80","724.50","3.55K","0.87%"
"09/20/2023","726.50","737.80","738.50","725.00","4.64K","-1.82%"
"09/19/2023","740.00","736.20","744.60","733.20","2.71K","0.56%"
"09/18/2023","735.90","729.70","738.10","720.00","3.96K","-1.66%"
"09/15/2023","748.30","757.40","764.00","748.00","0.33K","-1.20%"
"09/14/2023","757.40","753.00","769.10","751.00","3.23K","1.08%"
"09/13/2023","749.30","748.10","752.10","741.60","5.15K","0.38%"
"09/12/2023","746.50","732.10","752.00","728.40","4.99K","1.81%"
"09/11/2023","733.20","725.90","734.00","724.20","5.98K","0.49%"
"09/08/2023","729.60","738.50","742.40","723.30","4.64K","-0.50%"
"09/07/2023","733.30","723.70","736.70","719.60","4.37K","0.99%"
"09/06/2023","726.10","749.20","749.80","723.00","5.82K","-2.78%"
"09/05/2023","746.90","730.50","753.10","727.40","4.95K","2.29%"
"09/04/2023","730.20","730.00","735.00","730.00","1.92K","0.30%"
"09/01/2023","728.00","715.60","729.40","714.10","4.64K","1.79%"
"08/31/2023","715.20","726.50","734.50","713.60","6.29K","-2.03%"
"08/30/2023","730.00","727.50","740.20","724.60","7.85K","0.70%"
"08/29/2023","724.90","716.60","727.80","716.40","8.37K","2.18%"
"08/25/2023","709.40","693.20","710.00","688.60","5.82K","2.31%"
"08/24/2023","693.40","693.20","696.30","686.00","5.03K","-0.01%"
"08/23/2023","693.50","679.90","699.30","677.00","6.11K","1.78%"
"08/22/2023","681.40","684.50","687.30","680.00","3.04K","-0.06%"
"08/21/2023","681.80","689.40","695.90","681.00","5.49K","-0.76%"
"08/18/2023","687.00","694.00","695.80","685.10","4.34K","-1.12%"
"08/17/2023","694.80","700.40","712.20","692.60","5.64K","-0.97%"
"08/16/2023","701.60","691.10","703.50","689.20","4.38K","1.43%"
"08/15/2023","691.70","696.40","702.00","690.00","4.16K","-0.46%"
"08/14/2023","694.90","697.00","701.00","691.80","3.30K","-0.32%"
"08/11/2023","697.10","689.90","698.50","680.80","5.27K","0.88%"
"08/10/2023","691.00","690.90","695.20","686.70","3.79K","0.57%"
"08/09/2023","687.10","682.70","691.40","682.30","3.19K","1.12%"
"08/08/2023","679.50","680.80","682.80","675.20","4.71K","-0.50%"
"08/07/2023","682.90","685.10","690.00","678.10","5.57K","-0.48%"
"08/04/2023","686.20","696.00","698.20","685.70","5.28K","-1.83%"
"08/03/2023","699.00","698.90","701.50","691.30","5.77K","0.26%"
"08/02/2023","697.20","701.50","703.70","694.40","5.28K","-0.36%"
"08/01/2023","699.70","684.10","700.90","684.10","5.76K","2.40%"
"07/31/2023","683.30","679.00","686.00","678.70","5.46K","0.71%"
"07/28/2023","678.50","684.10","686.30","676.80","4.37K","-1.17%"
"07/27/2023","686.50","688.30","691.70","679.00","4.54K","0.03%"
"07/26/2023","686.30","692.50","696.30","682.30","4.98K","-1.02%"
"07/25/2023","693.40","696.00","698.40","691.30","4.03K","-0.84%"
"07/24/2023","699.30","699.30","705.00","697.70","4.69K","-0.33%"
"07/21/2023","701.60","688.50","702.80","684.20","6.74K","1.84%"
"07/20/2023","688.90","679.00","690.10","676.30","5.38K","1.94%"
"07/19/2023","675.80","663.00","678.30","662.00","4.39K","1.46%"
"07/18/2023","666.10","666.90","673.30","663.10","3.46K","-0.49%"
"07/17/2023","669.40","685.00","685.10","667.70","6.08K","-4.47%"
"07/14/2023","700.70","695.70","699.80","695.70","0.23K","1.02%"
"07/13/2023","693.60","688.40","700.40","687.90","1.15K","0.95%"
"07/12/2023","687.10","683.60","692.60","672.20","3.37K","1.24%"
"07/11/2023","678.70","662.50","683.60","661.90","4.97K","2.06%"
"07/10/2023","665.00","667.20","667.80","657.00","4.43K","-0.17%"
"07/07/2023","666.10","657.80","671.50","657.80","3.27K","1.34%"
"07/06/2023","657.30","659.20","662.80","656.00","4.14K","-0.23%"
"07/05/2023","658.80","648.60","662.60","642.90","5.90K","1.18%"
"07/04/2023","651.10","643.30","651.80","634.90","2.74K","1.21%"
"07/03/2023","643.30","632.70","649.80","627.40","3.45K","1.56%"
"06/30/2023","633.40","626.50","639.40","620.50","4.53K","2.06%"
"06/29/2023","620.60","629.60","631.50","612.10","4.58K","-1.30%"
"06/28/2023","628.80","628.00","638.40","620.00","6.79K","0.26%"
"06/27/2023","627.20","647.90","648.00","614.50","7.42K","-3.27%"
"06/26/2023","648.40","657.90","665.90","647.60","4.88K","-1.35%"
"06/23/2023","657.30","672.00","672.20","655.00","7.02K","-2.46%"
"06/22/2023","673.90","690.20","692.60","671.60","8.78K","-2.81%"
"06/21/2023","693.40","702.60","705.00","691.60","6.14K","-1.11%"
"06/20/2023","701.20","698.40","703.50","689.30","5.26K","0.00%"
"06/19/2023","701.20","704.20","710.80","700.10","1.69K","-0.19%"
"06/16/2023","702.50","688.00","703.30","686.50","4.84K","2.55%"
"06/15/2023","685.00","687.80","695.00","679.00","6.25K","-0.31%"
"06/14/2023","687.10","682.20","688.60","675.00","3.35K","1.04%"
"06/13/2023","680.00","684.10","690.10","677.00","3.50K","-0.67%"
"06/12/2023","684.60","680.90","695.00","678.10","3.90K","0.54%"
"06/09/2023","680.90","694.40","700.50","678.20","6.37K","-1.15%"
"06/08/2023","688.80","671.00","692.60","669.80","4.64K","2.93%"
"06/07/2023","669.20","673.30","677.60","666.50","3.95K","-0.25%"
"06/06/2023","670.90","678.60","681.30","665.70","7.54K","-0.81%"
"06/05/2023","676.40","689.00","696.20","675.70","5.30K","-1.41%"
"06/02/2023","686.10","690.20","693.00","683.70","5.55K","-0.58%"
"06/01/2023","690.10","701.70","703.60","689.70","6.21K","-0.86%"
"05/31/2023","696.10","703.30","705.60","695.10","5.34K","-1.51%"
"05/30/2023","706.80","708.40","718.00","702.30","3.23K","-0.24%"
"05/26/2023","708.50","700.80","714.80","693.50","4.10K","1.65%"
"05/25/2023","697.00","705.30","705.90","691.60","6.93K","-1.55%"
"05/24/2023","708.00","712.00","717.30","705.50","3.94K","-0.76%"
"05/23/2023","713.40","714.60","722.00","712.50","3.30K","0.07%"
"05/22/2023","712.90","714.00","715.40","706.70","2.38K","0.41%"
"05/19/2023","710.00","709.20","717.10","707.90","3.15K","0.48%"
"05/18/2023","706.60","710.80","713.70","703.00","3.45K","-0.72%"
"05/17/2023","711.70","716.80","719.40","704.80","5.30K","-0.46%"
"05/16/2023","715.00","718.00","726.90","713.30","3.47K","-0.27%"
"05/15/2023","716.90","718.50","719.70","707.60","3.06K","0.25%"
"05/12/2023","715.10","709.80","718.30","707.60","3.72K","1.39%"
"05/11/2023","705.30","717.30","721.80","705.00","3.27K","-1.80%"
"05/10/2023","718.20","710.30","720.30","706.10","2.50K","1.28%"
"05/09/2023","709.10","712.40","715.70","703.50","3.48K","-0.92%"
"05/05/2023","715.70","702.30","719.30","697.20","3.52K","2.57%"
"05/04/2023","697.80","687.30","699.50","685.00","3.47K","1.48%"
"05/03/2023","687.60","695.00","696.10","685.70","5.02K","-0.87%"
"05/02/2023","693.60","699.60","713.50","689.30","6.76K","-2.53%"
"04/28/2023","711.60","723.30","725.00","707.50","7.24K","-1.18%"
"04/27/2023","720.10","693.30","730.50","693.00","12.20K","3.60%"
"04/26/2023","695.10","705.70","711.80","693.40","6.01K","-1.42%"
"04/25/2023","705.10","687.70","711.30","683.00","8.35K","2.17%"
"04/24/2023","690.10","675.10","694.40","675.10","9.06K","2.03%"
"04/21/2023","676.40","695.50","695.50","674.80","7.70K","-2.77%"
"04/20/2023","695.70","680.30","697.30","676.00","6.00K","2.29%"
"04/19/2023","680.10","678.40","687.90","677.50","4.10K","0.59%"
"04/18/2023","676.10","666.40","678.30","665.00","3.79K","1.14%"
"04/17/2023","668.50","671.20","676.00","665.00","3.91K","-2.12%"
"04/14/2023","683.00","692.00","696.30","675.00","0.72K","-1.04%"
"04/13/2023","690.20","696.30","706.70","687.80","3.61K","-0.53%"
"04/12/2023","693.90","706.00","706.90","693.00","5.33K","-1.22%"
"04/11/2023","702.50","679.00","706.70","679.00","11.08K","4.35%"
"04/06/2023","673.20","665.50","676.50","651.00","7.61K","1.40%"
"04/05/2023","663.90","638.00","668.50","634.90","12.26K","4.26%"
"04/04/2023","636.80","631.00","638.00","629.30","8.35K","0.54%"
"04/03/2023","633.40","635.00","643.00","632.00","9.29K","0.49%"
"03/31/2023","630.30","630.00","633.10","620.90","8.30K","-0.06%"
"03/30/2023","630.70","620.00","634.80","618.90","8.77K","1.99%"
"03/29/2023","618.40","618.00","619.10","610.80","8.98K","0.36%"
"03/28/2023","616.20","607.00","619.40","605.60","7.62K","2.10%"
"03/27/2023","603.50","598.30","609.00","597.00","4.34K","0.99%"
"03/24/2023","597.60","597.80","600.00","594.10","3.48K","-0.03%"
"03/23/2023","597.80","603.90","608.10","596.00","6.09K","-1.01%"
"03/22/2023","603.90","590.50","605.60","590.30","7.89K","2.39%"
"03/21/2023","589.80","582.70","590.70","581.00","4.09K","1.58%"
"03/20/2023","580.60","582.70","584.80","580.00","2.72K","-0.77%"
"03/17/2023","585.10","588.20","590.70","581.50","3.28K","-0.09%"
"03/16/2023","585.60","581.80","589.00","577.10","4.60K","0.90%"
"03/15/2023","580.40","580.00","583.00","577.10","5.00K","-0.15%"
"03/14/2023","581.30","582.00","587.70","580.30","4.64K","-0.22%"
"03/13/2023","582.60","589.20","589.20","580.10","5.36K","-1.24%"
"03/10/2023","589.90","590.00","592.40","582.00","4.09K","-0.41%"
"03/09/2023","592.30","584.70","594.90","581.60","4.37K","1.08%"
"03/08/2023","586.00","588.20","588.40","582.90","3.38K","-0.37%"
"03/07/2023","588.20","581.50","591.30","580.90","5.85K","1.36%"
"03/06/2023","580.30","590.00","590.00","577.20","6.63K","-1.48%"
"03/03/2023","589.00","576.00","589.80","575.10","5.56K","2.83%"
"03/02/2023","572.80","576.10","580.00","568.40","4.98K","-0.54%"
"03/01/2023","575.90","564.80","576.70","562.00","4.74K","2.40%"
"02/28/2023","562.40","572.30","577.20","561.50","6.21K","-1.56%"
"02/27/2023","571.30","562.00","573.90","560.50","5.75K","1.65%"
"02/24/2023","562.00","575.90","576.20","561.00","7.19K","-2.21%"
"02/23/2023","574.70","567.50","578.30","566.10","5.24K","1.36%"
"02/22/2023","567.00","567.90","572.50","565.70","3.43K","-0.33%"
"02/21/2023","568.90","572.20","575.00","567.30","4.73K","-0.18%"
"02/20/2023","569.90","569.40","574.30","567.70","1.45K","0.33%"
"02/17/2023","568.00","566.70","572.30","565.30","3.03K","0.07%"
"02/16/2023","567.60","567.30","572.70","564.10","5.36K","0.28%"
"02/15/2023","566.00","568.40","568.40","562.20","3.75K","-0.65%"
"02/14/2023","569.70","560.00","570.30","560.00","5.37K","1.19%"
"02/13/2023","563.00","577.00","577.00","559.40","2.03K","-1.37%"
"02/10/2023","570.80","575.00","579.90","567.70","2.76K","-0.26%"
"02/09/2023","572.30","572.10","578.30","565.90","3.88K","0.60%"
"02/08/2023","568.90","558.40","570.20","555.30","6.05K","1.88%"
"02/07/2023","558.40","552.60","561.10","548.40","6.33K","1.60%"
"02/06/2023","549.60","553.00","554.90","547.00","8.46K","-0.31%"
"02/03/2023","551.30","565.00","566.60","549.00","7.92K","-2.73%"
"02/02/2023","566.80","560.00","569.00","553.70","7.79K","0.73%"
"02/01/2023","562.70","582.80","583.40","560.50","12.87K","-3.10%"
"01/31/2023","580.70","570.20","581.60","569.20","8.40K","2.11%"
"01/30/2023","568.70","562.40","569.60","555.50","8.69K","1.12%"
"01/27/2023","562.40","555.00","563.80","553.90","5.60K","1.33%"
"01/26/2023","555.00","546.00","560.00","546.00","5.68K","1.46%"
"01/25/2023","547.00","549.20","549.20","542.00","5.39K","-0.13%"
"01/24/2023","547.70","547.20","549.50","542.50","5.65K","0.05%"
"01/23/2023","547.40","544.00","552.30","543.60","3.24K","0.18%"
"01/20/2023","546.40","546.00","548.00","541.30","3.60K","-0.02%"
"01/19/2023","546.50","550.20","552.30","544.40","4.36K","-0.92%"
"01/18/2023","551.60","560.00","562.10","549.30","5.09K","-1.66%"
