"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2010","16.161","15.580","16.190","15.555","0.18K","0.08%"
"02/15/2010","16.148","15.570","16.215","15.450","45.06K","4.54%"
"02/12/2010","15.447","15.650","15.740","15.210","31.99K","-0.92%"
"02/11/2010","15.590","15.200","15.730","15.175","40.99K","1.90%"
"02/10/2010","15.300","15.475","15.645","15.075","42.72K","-0.87%"
"02/09/2010","15.435","15.025","15.595","15.015","45.76K","2.32%"
"02/08/2010","15.085","15.160","15.320","14.950","34.60K","1.72%"
"02/05/2010","14.830","15.305","15.380","14.650","58.18K","-3.39%"
"02/04/2010","15.350","16.400","16.415","15.190","66.06K","-5.93%"
"02/03/2010","16.317","16.740","16.950","16.280","39.50K","-2.54%"
"02/02/2010","16.743","16.695","16.810","16.555","30.48K","0.50%"
"02/01/2010","16.660","16.170","16.715","16.105","32.61K","2.90%"
"01/29/2010","16.190","16.260","16.375","16.020","34.64K","-0.14%"
"01/28/2010","16.212","16.590","16.755","16.015","45.23K","-1.39%"
"01/27/2010","16.440","16.800","16.965","16.425","33.16K","-2.49%"
"01/26/2010","16.860","17.155","17.270","16.340","46.81K","-1.66%"
"01/25/2010","17.145","17.050","17.275","16.990","27.77K","1.26%"
"01/22/2010","16.932","17.455","17.520","16.880","46.91K","-3.30%"
"01/21/2010","17.510","17.910","18.065","17.340","50.92K","-2.07%"
"01/20/2010","17.880","18.790","18.870","17.805","53.62K","-4.89%"
"01/19/2010","18.800","18.410","18.880","18.400","35.86K","0.00%"
"01/18/2010","18.800","18.410","18.880","18.400","35.86K","2.02%"
"01/15/2010","18.427","18.680","18.690","18.400","22.84K","-1.22%"
"01/14/2010","18.655","18.615","18.740","18.455","24.81K","0.57%"
"01/13/2010","18.550","18.270","18.675","18.200","31.95K","1.62%"
"01/12/2010","18.255","18.560","18.810","18.160","35.42K","-2.35%"
"01/11/2010","18.695","18.510","18.925","18.495","31.15K","1.22%"
"01/08/2010","18.470","18.275","18.525","18.055","35.48K","0.68%"
"01/07/2010","18.345","18.205","18.420","18.055","27.48K","0.94%"
"01/06/2010","18.175","17.765","18.245","17.755","35.56K","2.11%"
"01/05/2010","17.800","17.595","17.885","17.510","33.07K","1.93%"
"01/04/2010","17.463","16.940","17.600","16.850","31.03K","3.67%"
"12/31/2009","16.845","16.810","17.105","16.780","11.19K","0.26%"
"12/30/2009","16.802","17.105","17.175","16.765","21.44K","-1.80%"
"12/29/2009","17.110","17.540","17.545","17.080","18.31K","-2.56%"
"12/28/2009","17.560","17.550","17.690","17.455","13.09K","0.69%"
"12/24/2009","17.440","17.160","17.545","17.145","8.66K","1.45%"
"12/23/2009","17.190","16.995","17.245","16.870","16.19K","0.94%"
"12/22/2009","17.030","17.050","17.190","16.780","30.56K","-0.03%"
"12/21/2009","17.035","17.300","17.525","16.980","23.68K","-1.65%"
"12/18/2009","17.320","17.180","17.390","17.105","25.63K","0.73%"
"12/17/2009","17.195","17.770","17.805","17.100","32.37K","-2.81%"
"12/16/2009","17.693","17.450","17.810","17.350","24.29K","1.36%"
"12/15/2009","17.455","17.425","17.515","17.135","24.88K","0.66%"
"12/14/2009","17.340","17.140","17.455","17.095","21.86K","1.46%"
"12/11/2009","17.090","17.420","17.640","16.900","36.13K","-0.57%"
"12/10/2009","17.188","17.440","17.575","17.155","27.36K","0.05%"
"12/09/2009","17.180","17.660","17.910","17.135","43.95K","-3.52%"
"12/08/2009","17.807","18.225","18.385","17.560","34.82K","-3.01%"
"12/07/2009","18.360","18.480","18.585","17.895","44.11K","-0.86%"
"12/04/2009","18.520","18.910","18.990","18.300","48.73K","-3.18%"
"12/03/2009","19.128","19.235","19.500","18.835","41.23K","-1.02%"
"12/02/2009","19.325","19.140","19.470","19.100","38.97K","0.60%"
"12/01/2009","19.210","18.505","19.300","18.420","35.65K","3.70%"
"11/30/2009","18.525","18.355","18.545","18.135","26.39K","1.04%"
"11/26/2009","18.335","18.690","18.950","17.720","49.53K","-2.31%"
"11/25/2009","18.768","18.520","18.860","18.520","47.05K","1.70%"
"11/24/2009","18.455","18.585","18.680","18.330","57.10K","-0.83%"
"11/23/2009","18.610","18.525","18.935","18.525","51.50K","0.92%"
"11/20/2009","18.440","18.545","18.595","18.035","44.23K","-0.08%"
"11/19/2009","18.455","18.575","18.640","18.150","37.12K","0.22%"
"11/18/2009","18.415","18.425","18.855","18.325","51.97K","0.15%"
"11/17/2009","18.387","18.400","18.435","18.085","50.51K","-0.07%"
"11/16/2009","18.400","17.490","18.450","17.475","54.54K","5.87%"
"11/13/2009","17.380","17.215","17.460","17.025","35.47K","0.67%"
"11/12/2009","17.265","17.585","17.780","17.190","36.60K","-1.55%"
"11/11/2009","17.537","17.345","17.725","17.330","38.85K","1.83%"
"11/10/2009","17.222","17.585","17.650","17.160","41.35K","-1.48%"
"11/09/2009","17.480","17.445","17.780","17.425","30.10K","0.60%"
"11/06/2009","17.375","17.410","17.630","17.270","37.18K","-0.20%"
"11/05/2009","17.410","17.460","17.530","17.220","28.33K","0.03%"
"11/04/2009","17.405","17.230","17.635","17.105","42.63K","1.31%"
"11/03/2009","17.180","16.475","17.350","16.245","53.21K","4.50%"
"11/02/2009","16.440","16.285","16.735","16.275","35.09K","1.14%"
"10/30/2009","16.255","16.690","16.745","16.150","35.59K","-2.40%"
"10/29/2009","16.655","16.135","16.710","16.120","38.03K","2.56%"
"10/28/2009","16.240","16.710","16.770","16.120","45.65K","-1.81%"
"10/27/2009","16.540","17.070","17.250","16.500","51.97K","-3.25%"
"10/26/2009","17.095","17.710","17.800","17.010","43.38K","-3.54%"
