"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2010","128.65","128.65","128.65","128.65","","-1.15%"
"03/12/2010","130.15","132.75","132.75","130.05","0.02K","-0.99%"
"03/11/2010","131.45","131.00","131.50","130.90","0.01K","0.73%"
"03/10/2010","130.50","130.45","130.45","130.45","0.00K","0.19%"
"03/09/2010","130.25","131.25","131.30","131.10","0.01K","1.20%"
"03/08/2010","128.70","127.55","128.35","127.55","0.00K","0.55%"
"03/05/2010","128.00","128.45","128.80","128.00","0.01K","0.12%"
"03/04/2010","127.85","130.00","130.00","126.55","0.02K","-1.43%"
"03/03/2010","129.70","129.85","130.45","129.15","0.01K","-0.38%"
"03/02/2010","130.20","129.35","130.10","129.00","0.02K","0.50%"
"03/01/2010","129.55","129.65","130.90","129.05","0.02K","0.39%"
"02/26/2010","129.05","129.60","129.80","128.60","0.02K","1.06%"
"02/25/2010","127.70","129.55","129.70","126.60","0.11K","-2.11%"
"02/24/2010","130.45","130.35","130.85","129.70","0.18K","0.08%"
"02/23/2010","130.35","130.55","130.75","129.75","0.14K","0.39%"
"02/22/2010","129.85","134.75","135.10","129.40","0.53K","-3.64%"
"02/19/2010","134.75","133.95","135.20","132.55","0.53K","0.48%"
"02/18/2010","134.10","132.50","135.00","131.90","1.54K","1.40%"
"02/17/2010","132.25","133.50","134.00","131.55","17.34K","-0.90%"
"02/16/2010","133.45","133.15","134.80","132.00","16.95K","0.53%"
"02/12/2010","132.75","131.80","133.30","130.00","7.99K","0.42%"
"02/11/2010","132.20","132.75","134.10","131.65","17.57K","0.00%"
"02/10/2010","132.20","130.10","132.65","129.40","30.10K","1.38%"
"02/09/2010","130.40","130.45","132.20","129.45","19.01K","-0.19%"
"02/08/2010","130.65","129.35","131.60","128.50","14.52K","1.44%"
"02/05/2010","128.80","131.45","131.85","128.50","19.21K","-2.09%"
"02/04/2010","131.55","132.75","133.15","130.05","15.35K","-1.09%"
"02/03/2010","133.00","135.45","135.95","132.40","14.89K","-1.52%"
"02/02/2010","135.05","132.85","135.65","132.20","16.05K","1.89%"
"02/01/2010","132.55","132.00","133.20","131.20","12.31K","0.45%"
"01/31/2010","131.95","131.95","131.95","131.95","","0.19%"
"01/29/2010","131.70","132.60","133.90","131.60","10.94K","-0.94%"
"01/28/2010","132.95","133.95","134.90","132.05","14.54K","-0.45%"
"01/27/2010","133.55","138.00","139.00","133.35","24.41K","-3.40%"
"01/26/2010","138.25","139.05","139.20","137.00","11.80K","-0.82%"
"01/25/2010","139.40","139.80","140.40","138.55","8.02K","-0.14%"
"01/22/2010","139.60","138.75","141.25","137.30","13.14K","0.65%"
"01/21/2010","138.70","139.45","140.15","137.55","9.21K","-0.36%"
