"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2010","378.75","380.00","381.50","373.25","25.78K","-0.39%"
"01/19/2010","380.25","382.75","386.00","378.00","24.62K","2.29%"
"01/18/2010","371.75","371.75","371.75","371.75","","-2.81%"
"01/15/2010","382.50","389.50","390.50","380.25","21.77K","-2.36%"
"01/14/2010","391.75","394.25","394.25","387.25","41.42K","-0.82%"
"01/13/2010","395.00","395.00","395.75","379.00","45.30K","-1.99%"
"01/12/2010","403.00","429.00","429.25","403.00","26.63K","-6.93%"
"01/11/2010","433.00","431.75","435.00","428.00","26.04K","-0.06%"
"01/08/2010","433.25","428.00","434.00","425.50","23.89K","1.23%"
"01/07/2010","428.00","431.00","434.00","425.00","30.45K","-0.93%"
"01/06/2010","432.00","428.00","432.25","426.00","16.91K","0.70%"
"01/05/2010","429.00","427.75","429.75","425.50","11.09K","0.06%"
"01/04/2010","428.75","424.75","436.00","423.50","19.41K","3.50%"
"01/01/2010","414.25","414.25","414.25","414.25","","-2.36%"
"12/31/2009","424.25","422.50","428.00","422.00","11.64K","0.18%"
"12/30/2009","423.50","425.25","426.25","410.00","14.08K","-0.82%"
"12/29/2009","427.00","425.00","427.75","423.25","12.00K","0.23%"
"12/28/2009","426.00","419.00","429.00","419.00","14.57K","4.38%"
"12/25/2009","408.13","408.13","408.13","408.13","","-2.54%"
"12/24/2009","418.75","413.50","419.25","413.50","4.90K","0.84%"
"12/23/2009","415.25","408.75","415.50","408.25","6.22K","1.47%"
"12/22/2009","409.25","410.00","412.25","404.25","6.45K","-0.37%"
"12/21/2009","410.75","408.00","417.00","406.75","18.44K","0.55%"
"12/18/2009","408.50","407.75","411.25","401.75","11.81K","0.18%"
"12/17/2009","407.75","420.00","420.25","403.75","11.91K","-3.15%"
"12/16/2009","421.00","417.00","424.25","414.00","14.15K","0.66%"
"12/15/2009","418.25","418.25","420.25","415.75","16.94K","2.39%"
"12/14/2009","408.50","404.00","410.00","399.50","94.62K","0.99%"
"12/11/2009","404.50","393.00","406.25","390.25","128.33K","2.93%"
"12/10/2009","393.00","383.50","396.00","380.50","133.72K","2.48%"
"12/09/2009","383.50","385.50","388.75","379.00","118.43K","-0.39%"
"12/08/2009","385.00","384.25","390.50","382.50","98.68K","0.33%"
"12/07/2009","383.75","388.75","393.25","382.50","117.83K","-1.22%"
"12/04/2009","388.50","400.50","403.00","388.00","139.29K","-3.06%"
"12/03/2009","400.75","406.50","413.00","400.50","124.78K","-1.41%"
"12/02/2009","406.50","413.00","413.75","404.50","108.66K","-1.93%"
"12/01/2009","414.50","415.25","421.25","412.00","129.41K","-0.72%"
"11/30/2009","417.50","412.00","420.25","407.25","149.89K","0.97%"
"11/27/2009","413.50","402.75","415.00","395.00","150.84K","1.35%"
"11/25/2009","408.00","393.00","409.75","393.00","128.77K","4.08%"
"11/24/2009","392.00","401.75","403.25","390.25","119.68K","-2.79%"
"11/23/2009","403.25","407.00","419.00","401.00","93.72K","-0.92%"
"11/20/2009","407.00","410.50","414.75","405.00","59.06K","-0.91%"
"11/19/2009","410.75","413.75","416.00","405.50","52.87K","-0.73%"
"11/18/2009","413.75","416.75","425.00","413.00","78.41K","-0.90%"
"11/17/2009","417.50","416.00","419.50","412.00","57.82K","0.00%"
"11/16/2009","417.50","406.25","418.00","405.00","56.47K","2.90%"
"11/13/2009","405.75","405.00","409.75","400.50","38.26K","0.00%"
"11/12/2009","405.75","407.25","413.00","397.50","90.21K","-0.86%"
"11/11/2009","409.25","407.00","418.00","406.50","157.47K","0.06%"
"11/10/2009","409.00","398.00","418.50","393.50","91.99K","2.19%"
"11/09/2009","400.25","379.75","402.50","379.00","77.97K","5.05%"
"11/06/2009","381.00","389.75","392.50","380.00","67.60K","-2.37%"
"11/05/2009","390.25","397.00","400.50","389.00","50.57K","-1.82%"
"11/04/2009","397.50","401.75","412.00","396.50","34.47K","-1.49%"
"11/03/2009","403.50","393.50","409.75","388.50","44.11K","1.96%"
"11/02/2009","395.75","375.00","397.00","372.50","63.19K","4.35%"
