"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2009","542.38","519.00","548.13","519.00","","4.53%"
"10/20/2009","518.88","517.50","526.63","509.00","","0.27%"
"10/19/2009","517.50","497.50","522.63","497.50","","4.02%"
"10/18/2009","497.50","497.50","497.50","497.50","","-0.05%"
"10/16/2009","497.75","505.38","506.63","495.63","","-1.51%"
"10/15/2009","505.38","513.50","513.63","496.50","","-1.58%"
"10/14/2009","513.50","512.88","528.50","505.13","","0.17%"
"10/13/2009","512.63","495.75","514.38","489.88","","3.72%"
"10/12/2009","494.25","470.25","496.50","464.75","38.27K","5.61%"
"10/09/2009","468.00","473.25","474.25","461.00","38.63K","-1.27%"
"10/08/2009","474.00","464.00","483.00","462.50","61.63K","2.32%"
"10/07/2009","463.25","458.75","466.00","453.75","26.40K","0.65%"
"10/06/2009","460.25","443.00","471.50","442.75","46.79K","3.95%"
"10/05/2009","442.75","441.25","452.00","439.25","29.94K","0.34%"
"10/02/2009","441.25","451.50","454.00","439.25","27.47K","-2.54%"
"10/01/2009","452.75","452.00","454.00","445.50","25.95K","-1.04%"
"09/30/2009","457.50","447.50","460.00","439.50","41.78K","2.23%"
"09/29/2009","447.50","456.00","460.00","441.25","33.41K","-1.81%"
"09/28/2009","455.75","462.00","462.00","450.50","30.40K","1.33%"
"09/25/2009","449.75","471.75","477.25","448.00","60.76K","-4.92%"
"09/24/2009","473.00","457.50","474.00","453.00","46.19K","2.83%"
"09/23/2009","460.00","455.50","469.00","451.00","39.84K","0.93%"
"09/22/2009","455.75","456.25","464.50","452.75","31.35K","-0.05%"
"09/21/2009","456.00","457.00","463.00","452.75","26.20K","-0.27%"
"09/18/2009","457.25","461.50","465.25","456.25","20.05K","-0.97%"
"09/17/2009","461.75","467.50","476.75","458.00","25.00K","-1.18%"
"09/16/2009","467.25","469.50","473.75","456.25","31.70K","-0.69%"
"09/15/2009","470.50","453.25","481.50","450.00","51.51K","9.16%"
"09/14/2009","431.00","431.00","431.00","430.00","0.05K","-2.43%"
"09/11/2009","441.75","432.75","440.50","425.25","0.16K","2.08%"
"09/10/2009","432.75","429.50","434.00","428.75","0.28K","0.87%"
"09/09/2009","429.00","430.50","434.75","426.75","0.33K","-0.58%"
"09/08/2009","431.50","442.25","446.50","433.00","0.78K","-2.82%"
"09/04/2009","444.00","450.00","450.00","445.00","1.35K","-1.61%"
"09/03/2009","451.25","456.50","465.00","447.25","2.89K","-1.26%"
"09/02/2009","457.00","457.00","460.75","454.75","5.82K","-0.49%"
"09/01/2009","459.25","471.00","472.00","454.25","10.02K","-2.49%"
"08/31/2009","471.00","467.00","473.50","453.25","14.44K","0.86%"
"08/28/2009","467.00","475.00","481.25","459.50","30.36K","-1.68%"
"08/27/2009","475.00","479.00","482.50","464.25","14.20K","-0.78%"
"08/26/2009","478.75","471.00","481.75","469.75","16.57K","1.65%"
"08/25/2009","471.00","470.75","489.00","467.00","15.36K","-0.16%"
"08/24/2009","471.75","460.25","472.50","459.50","22.01K","2.50%"
"08/21/2009","460.25","468.00","476.00","458.75","17.90K","-1.87%"
"08/20/2009","469.00","467.00","471.25","462.25","11.25K","0.64%"
"08/19/2009","466.00","472.50","480.75","457.75","28.58K","-0.96%"
"08/18/2009","470.50","470.25","479.00","468.50","20.92K","-0.26%"
"08/17/2009","471.75","481.25","481.25","465.25","27.47K","-2.08%"
"08/14/2009","481.75","482.25","486.50","473.75","30.32K","0.05%"
"08/13/2009","481.50","487.00","496.50","480.25","43.19K","-1.78%"
"08/12/2009","490.25","485.75","491.00","476.25","42.71K","1.03%"
"08/11/2009","485.25","494.25","499.75","483.50","50.43K","-1.82%"
"08/10/2009","494.25","488.00","501.50","485.25","65.23K","0.97%"
"08/07/2009","489.50","501.00","505.00","488.00","76.90K","-2.15%"
"08/06/2009","500.25","529.25","530.00","499.00","46.69K","-5.39%"
"08/05/2009","528.75","542.00","546.75","522.25","49.33K","-2.49%"
"08/04/2009","542.25","548.75","551.00","538.25","39.67K","-1.27%"
"08/03/2009","549.25","531.75","557.50","529.25","89.01K","3.98%"
"07/31/2009","528.25","516.00","530.00","514.75","32.94K","2.32%"
"07/30/2009","516.25","512.00","527.25","511.75","37.82K","0.93%"
