"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-01",101.7738,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-02",101.7562,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-03",101.7595,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-04",101.7216,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-05",101.6626,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-06",101.7085,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-07",101.8031,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-08",101.8932,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-09",102.008,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-10",102.1252,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-11",102.2006,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-12",102.1813,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-01",102.0601,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-02",101.9383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-03",101.858,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-04",101.7501,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-05",101.6159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-06",101.4621,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-07",101.2464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-08",100.945,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-09",100.6812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-10",100.4638,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-11",100.2483,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-12",100.082,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-01",99.90016,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-02",99.93864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-03",100.1493,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-04",100.2194,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-05",100.2282,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-06",100.1289,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-07",99.94181,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-08",99.79623,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-09",99.75601,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-10",99.73399,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-11",99.77789,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-12",99.80325,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-01",99.75194,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-02",99.74017,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-03",99.83518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-04",99.92261,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-05",100.0593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-06",100.2706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-07",100.3842,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-08",100.3974,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-09",100.3054,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-10",100.0884,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-11",99.84668,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-12",99.69988,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-01",99.65282,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-02",99.58337,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-03",99.47744,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-04",99.36833,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-05",99.2837,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-06",99.35465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-07",99.49578,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-08",99.73883,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-09",99.91811,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-10",99.94775,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-11",100.0037,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1993-12",99.95927,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-01",99.96529,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-02",100.1041,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-03",100.3693,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-04",100.5989,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-05",100.7595,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-06",100.8466,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-07",100.9121,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-08",101.0205,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-09",101.082,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-10",101.0188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-11",100.9496,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1994-12",100.8475,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-01",100.841,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-02",100.9546,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-03",101.0283,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-04",100.9949,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-05",100.9933,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-06",100.9691,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-07",100.9793,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-08",101.1009,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-09",101.2042,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-10",101.2644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-11",101.1719,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1995-12",100.9176,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-01",100.6853,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-02",100.4994,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-03",100.3556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-04",100.3783,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-05",100.5304,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-06",100.6777,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-07",100.8269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-08",100.9782,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-09",101.1497,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-10",101.298,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-11",101.2917,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1996-12",101.2827,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-01",101.4097,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-02",101.532,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-03",101.6089,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-04",101.6782,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-05",101.6634,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-06",101.681,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-07",101.751,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-08",101.8374,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-09",101.9373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-10",101.951,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-11",101.929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1997-12",101.928,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-01",101.9464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-02",101.9689,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-03",102.0487,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-04",102.0541,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-05",102.1092,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-06",102.0822,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-07",101.9786,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-08",101.6937,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-09",101.3181,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-10",101.0617,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-11",101.0368,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1998-12",101.0373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-01",100.9687,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-02",100.8903,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-03",100.8678,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-04",100.9644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-05",101.0902,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-06",101.2377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-07",101.414,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-08",101.667,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-09",101.9518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-10",102.1818,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-11",102.2178,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.2456,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.2775,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.2685,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.2728,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.25,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.1915,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.1425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.0589,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.0436,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.0837,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-10",102.1525,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.0824,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.8717,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.5387,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.187,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.9054,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.7153,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.5914,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.4068,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.3166,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.2637,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.2565,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.2774,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.4925,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.8689,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-01",101.2204,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.2495,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.078,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.7553,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.4297,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.1074,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-07",99.83421,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-08",99.61256,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.47278,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.44888,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.41494,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.22465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-01",98.8752,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-02",98.63987,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-03",98.57928,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-04",98.64662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-05",98.7483,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-06",98.73437,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-07",98.73038,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-08",98.89122,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-09",99.05824,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-10",99.16203,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-11",99.28662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-12",99.40674,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-01",99.47995,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-02",99.67342,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-03",99.69813,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-04",99.65596,
