"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2009","10,318.16","10,327.91","10,342.72","10,271.68","230.43M","-0.14%"
"11/19/2009","10,332.44","10,425.33","10,425.33","10,256.11","196.25M","-0.90%"
"11/18/2009","10,426.31","10,426.27","10,432.66","10,360.10","166.34M","-0.11%"
"11/17/2009","10,437.42","10,404.77","10,438.17","10,361.99","158.32M","0.29%"
"11/16/2009","10,406.96","10,267.53","10,434.24","10,267.45","202.57M","1.33%"
"11/13/2009","10,270.47","10,197.85","10,305.69","10,192.03","167.28M","0.72%"
"11/12/2009","10,197.47","10,289.82","10,321.64","10,171.24","183.81M","-0.91%"
"11/11/2009","10,291.26","10,247.42","10,341.97","10,246.14","166.92M","0.43%"
"11/10/2009","10,246.97","10,223.01","10,260.80","10,197.69","193.95M","0.20%"
"11/09/2009","10,226.94","10,020.62","10,228.23","10,020.62","227.47M","2.03%"
"11/06/2009","10,023.42","10,001.35","10,044.50","9,936.81","181.01M","0.17%"
"11/05/2009","10,005.96","9,807.80","10,013.07","9,807.80","211.04M","2.08%"
"11/04/2009","9,802.14","9,767.30","9,928.04","9,767.14","224.13M","0.31%"
"11/03/2009","9,771.91","9,787.47","9,787.47","9,703.89","231.52M","-0.18%"
"11/02/2009","9,789.44","9,712.13","9,858.59","9,678.95","242.46M","0.79%"
"10/30/2009","9,712.73","9,961.52","9,962.13","9,684.54","327.98M","-2.51%"
"10/29/2009","9,962.58","9,762.91","9,969.91","9,759.13","248.95M","2.05%"
"10/28/2009","9,762.69","9,881.11","9,902.42","9,758.08","257.37M","-1.21%"
"10/27/2009","9,882.17","9,868.34","9,947.54","9,837.96","237.06M","0.14%"
"10/26/2009","9,867.96","9,972.33","10,072.32","9,849.45","270.05M","-1.05%"
"10/23/2009","9,972.18","10,099.90","10,109.57","9,932.50","305.67M","-1.08%"
"10/22/2009","10,081.31","9,946.18","10,105.19","9,916.78","231.90M","1.33%"
"10/21/2009","9,949.36","10,038.84","10,119.47","9,943.76","251.05M","-0.92%"
"10/20/2009","10,041.48","10,092.42","10,098.39","9,992.81","214.50M","-0.50%"
"10/19/2009","10,092.19","9,996.67","10,117.96","9,995.15","186.24M","0.96%"
"10/16/2009","9,995.91","10,061.36","10,061.66","9,939.91","307.77M","-0.67%"
"10/15/2009","10,062.94","10,014.88","10,062.94","9,977.47","252.48M","0.47%"
"10/14/2009","10,015.86","9,873.55","10,027.73","9,873.48","284.81M","1.47%"
"10/13/2009","9,871.06","9,883.98","9,895.09","9,815.06","211.51M","-0.15%"
"10/12/2009","9,885.80","9,865.24","9,931.82","9,849.37","158.85M","0.21%"
"10/09/2009","9,864.94","9,786.04","9,865.01","9,764.88","161.12M","0.80%"
"10/08/2009","9,786.87","9,728.22","9,836.67","9,728.07","209.58M","0.63%"
"10/07/2009","9,725.58","9,725.69","9,740.32","9,675.62","167.65M","-0.06%"
"10/06/2009","9,731.25","9,601.26","9,774.32","9,601.26","206.02M","1.37%"
"10/05/2009","9,599.75","9,488.73","9,625.06","9,481.09","173.85M","1.18%"
"10/02/2009","9,487.67","9,507.62","9,524.78","9,430.08","219.75M","-0.23%"
"10/01/2009","9,509.28","9,711.60","9,711.67","9,500.37","266.99M","-2.09%"
"09/30/2009","9,712.28","9,741.83","9,776.82","9,608.59","268.39M","-0.31%"
"09/29/2009","9,742.20","9,789.74","9,834.48","9,739.11","153.99M","-0.48%"
"09/28/2009","9,789.36","9,663.23","9,823.67","9,663.23","163.78M","1.28%"
"09/25/2009","9,665.19","9,706.68","9,735.93","9,641.01","189.35M","-0.44%"
"09/24/2009","9,707.44","9,749.99","9,805.39","9,666.03","201.89M","-0.42%"
"09/23/2009","9,748.55","9,830.63","9,917.99","9,740.84","233.33M","-0.83%"
"09/22/2009","9,829.87","9,779.61","9,843.40","9,771.91","194.62M","0.52%"
"09/21/2009","9,778.86","9,818.61","9,818.69","9,725.88","172.83M","-0.42%"
"09/18/2009","9,820.20","9,784.75","9,847.71","9,784.68","424.93M","0.37%"
"09/17/2009","9,783.92","9,789.82","9,854.58","9,749.46","225.47M","-0.08%"
"09/16/2009","9,791.71","9,683.71","9,799.72","9,679.18","241.27M","1.12%"
"09/15/2009","9,683.41","9,626.42","9,713.71","9,580.93","224.03M","0.59%"
"09/14/2009","9,626.80","9,598.08","9,631.11","9,535.96","196.48M","0.22%"
"09/11/2009","9,605.41","9,625.44","9,649.85","9,571.56","196.76M","-0.23%"
"09/10/2009","9,627.48","9,546.54","9,633.00","9,508.22","234.13M","0.84%"
"09/09/2009","9,547.22","9,496.59","9,577.22","9,476.18","190.82M","0.53%"
"09/08/2009","9,497.34","9,440.13","9,511.02","9,439.98","202.37M","0.59%"
"09/04/2009","9,441.27","9,345.36","9,445.72","9,321.63","152.40M","1.03%"
"09/03/2009","9,344.61","9,282.03","9,350.27","9,252.93","168.75M","0.69%"
"09/02/2009","9,280.67","9,306.21","9,330.93","9,262.30","175.20M","-0.32%"
"09/01/2009","9,310.60","9,492.32","9,557.95","9,292.08","267.68M","-1.96%"
"08/31/2009","9,496.28","9,542.91","9,543.06","9,436.13","201.60M","-0.50%"
"08/28/2009","9,544.20","9,582.74","9,630.20","9,495.98","205.77M","-0.38%"
"08/27/2009","9,580.63","9,541.63","9,609.72","9,459.40","163.98M","0.39%"
"08/26/2009","9,543.52","9,538.61","9,582.97","9,485.78","154.67M","0.04%"
"08/25/2009","9,539.29","9,509.21","9,620.00","9,508.98","173.89M","0.32%"
"08/24/2009","9,509.28","9,506.18","9,587.73","9,486.23","190.59M","0.03%"
"08/21/2009","9,505.96","9,347.86","9,519.11","9,347.25","293.53M","1.67%"
"08/20/2009","9,350.05","9,278.55","9,363.95","9,267.97","151.74M","0.76%"
"08/19/2009","9,279.16","9,208.68","9,313.09","9,131.94","176.91M","0.66%"
"08/18/2009","9,217.94","9,134.36","9,233.51","9,134.36","158.53M","0.90%"
"08/17/2009","9,135.34","9,313.85","9,313.85","9,116.52","207.10M","-2.00%"
"08/14/2009","9,321.40","9,398.04","9,401.97","9,232.83","172.78M","-0.82%"
"08/13/2009","9,398.19","9,362.29","9,406.50","9,305.31","145.62M","0.39%"
"08/12/2009","9,361.61","9,236.06","9,424.11","9,221.02","197.42M","1.30%"
"08/11/2009","9,241.45","9,334.33","9,334.33","9,216.88","171.38M","-1.03%"
"08/10/2009","9,337.95","9,368.41","9,371.96","9,290.34","161.37M","-0.34%"
"08/07/2009","9,370.07","9,258.45","9,437.71","9,258.45","216.60M","1.23%"
"08/06/2009","9,256.26","9,277.19","9,325.11","9,208.80","244.45M","-0.27%"
"08/05/2009","9,280.97","9,315.36","9,318.08","9,206.45","236.61M","-0.42%"
"08/04/2009","9,320.19","9,285.05","9,321.10","9,250.74","195.99M","0.36%"
"08/03/2009","9,286.56","9,173.65","9,298.43","9,173.65","221.69M","1.25%"
"07/31/2009","9,171.61","9,154.61","9,218.77","9,133.45","265.57M","0.19%"
"07/30/2009","9,154.46","9,072.84","9,246.43","9,072.61","232.41M","0.92%"
"07/29/2009","9,070.72","9,092.34","9,094.83","9,014.19","190.51M","-0.29%"
"07/28/2009","9,096.72","9,106.92","9,124.91","9,007.47","198.27M","-0.13%"
"07/27/2009","9,108.51","9,093.09","9,123.40","9,034.52","176.84M","0.17%"
"07/24/2009","9,093.24","9,066.11","9,100.88","9,007.39","214.31M","0.26%"
"07/23/2009","9,069.29","8,882.31","9,096.72","8,866.44","274.76M","2.12%"
"07/22/2009","8,881.26","8,912.39","8,949.80","8,860.32","199.01M","-0.39%"
"07/21/2009","8,915.94","8,848.15","8,927.13","8,811.27","218.91M","0.77%"
"07/20/2009","8,848.15","8,746.05","8,854.80","8,745.90","213.73M","1.19%"
"07/17/2009","8,743.94","8,711.89","8,754.29","8,674.41","301.41M","0.37%"
"07/16/2009","8,711.82","8,612.66","8,739.55","8,584.40","216.58M","1.11%"
"07/15/2009","8,616.21","8,363.95","8,628.23","8,363.95","305.00M","3.07%"
"07/14/2009","8,359.49","8,331.37","8,361.23","8,285.20","189.17M","0.33%"
"07/13/2009","8,331.68","8,146.82","8,331.68","8,130.42","253.52M","2.27%"
"07/10/2009","8,146.52","8,182.49","8,183.85","8,093.31","174.26M","-0.45%"
"07/09/2009","8,183.17","8,179.01","8,228.67","8,145.31","192.66M","0.06%"
"07/08/2009","8,178.41","8,157.02","8,219.52","8,087.19","325.25M","0.18%"
"07/07/2009","8,163.60","8,324.95","8,326.31","8,154.38","210.88M","-1.94%"
"07/06/2009","8,324.87","8,279.30","8,327.97","8,205.99","206.90M","0.53%"
"07/02/2009","8,280.74","8,503.00","8,503.23","8,280.74","157.80M","-2.63%"
"07/01/2009","8,504.06","8,447.53","8,580.47","8,447.53","184.60M","0.68%"
"06/30/2009","8,447.00","8,528.93","8,560.44","8,393.95","233.34M","-0.97%"
"06/29/2009","8,529.38","8,440.13","8,533.23","8,429.09","216.48M","1.08%"
"06/26/2009","8,438.39","8,468.54","8,468.77","8,401.36","307.64M","-0.40%"
"06/25/2009","8,472.40","8,299.25","8,490.46","8,259.43","222.54M","2.08%"
"06/24/2009","8,299.86","8,323.51","8,428.41","8,259.88","189.43M","-0.28%"
"06/23/2009","8,322.91","8,340.44","8,370.90","8,286.41","237.15M","-0.19%"
"06/22/2009","8,339.01","8,538.52","8,538.83","8,334.55","291.24M","-2.35%"
"06/19/2009","8,539.73","8,556.96","8,616.59","8,496.73","528.71M","-0.19%"
"06/18/2009","8,555.60","8,496.73","8,590.52","8,475.12","220.05M","0.69%"
"06/17/2009","8,497.18","8,504.36","8,563.01","8,461.29","237.87M","-0.09%"
"06/16/2009","8,504.67","8,612.44","8,643.65","8,499.38","240.69M","-1.25%"
"06/15/2009","8,612.13","8,798.50","8,798.50","8,577.90","230.22M","-2.13%"
"06/12/2009","8,799.26","8,770.01","8,805.53","8,716.73","164.02M","0.32%"
"06/11/2009","8,770.92","8,736.23","8,877.93","8,736.23","249.90M","0.37%"
"06/10/2009","8,739.02","8,763.66","8,834.93","8,639.95","219.92M","-0.27%"
"06/09/2009","8,763.06","8,764.83","8,803.26","8,725.12","187.93M","-0.02%"
"06/08/2009","8,764.49","8,759.35","8,823.97","8,633.07","189.63M","0.02%"
"06/05/2009","8,763.13","8,751.75","8,839.40","8,700.41","254.97M","0.15%"
"06/04/2009","8,750.24","8,665.72","8,751.25","8,634.57","237.80M","0.86%"
"06/03/2009","8,675.28","8,740.07","8,740.39","8,598.38","252.16M","-0.75%"
"06/02/2009","8,740.87","8,721.60","8,787.13","8,693.72","257.56M","0.22%"
"06/01/2009","8,721.44","8,501.53","8,760.70","8,501.29","354.83M","2.60%"
