"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 06, 2005","86.540","86.590","86.790","86.330","4.87K","0.45%"
"Sep 05, 2005","86.150","86.130","86.220","85.970","0.77K","-0.12%"
"Sep 02, 2005","86.250","86.530","86.610","86.020","3.85K","-0.27%"
"Sep 01, 2005","86.480","87.510","87.630","86.380","11.59K","-1.21%"
"Aug 31, 2005","87.540","88.280","88.530","87.370","4.96K","-0.88%"
"Aug 30, 2005","88.320","88.100","88.670","88.090","5.30K","0.16%"
"Aug 29, 2005","88.180","87.710","88.250","87.410","4.33K","0.40%"
"Aug 26, 2005","87.830","87.630","87.860","87.370","4.42K","0.31%"
"Aug 25, 2005","87.560","87.790","87.950","87.450","1.67K","-0.30%"
"Aug 24, 2005","87.820","88.000","88.500","87.730","3.52K","-0.22%"
"Aug 23, 2005","88.010","88.060","88.270","87.950","1.58K","-0.06%"
"Aug 22, 2005","88.060","88.500","88.620","87.980","2.94K","-0.49%"
"Aug 19, 2005","88.490","88.510","88.820","88.370","5.75K","-0.06%"
"Aug 18, 2005","88.540","87.870","88.650","87.820","2.43K","0.69%"
"Aug 17, 2005","87.930","87.350","87.950","87.270","1.38K","0.66%"
"Aug 16, 2005","87.350","87.220","87.630","87.250","2.19K","0.15%"
"Aug 15, 2005","87.220","86.800","87.450","86.810","4.86K","0.45%"
"Aug 12, 2005","86.830","86.850","87.280","86.690","3.85K","-0.17%"
"Aug 11, 2005","86.980","87.560","87.560","86.950","4.57K","-0.67%"
"Aug 10, 2005","87.570","87.680","87.850","87.330","10.61K","-0.26%"
"Aug 09, 2005","87.800","87.870","88.070","87.540","1.42K","-0.02%"
"Aug 08, 2005","87.820","88.130","88.130","87.650","0.95K","-0.15%"
"Aug 05, 2005","87.950","87.710","88.240","87.590","2.50K","0.29%"
"Aug 04, 2005","87.700","87.900","88.150","87.500","9.52K","-0.17%"
"Aug 03, 2005","87.850","88.610","88.900","87.820","6.16K","-0.89%"
"Aug 02, 2005","88.640","88.760","88.790","88.280","3.62K","-0.07%"
"Aug 01, 2005","88.700","89.260","89.350","88.440","5.10K","-0.59%"
"Jul 29, 2005","89.230","89.230","89.500","89.010","1.99K","0.00%"
"Jul 28, 2005","89.230","89.700","89.900","89.120","3.40K","-0.42%"
"Jul 27, 2005","89.610","89.950","90.370","89.550","2.79K","-0.34%"
"Jul 26, 2005","89.920","89.450","90.160","89.500","1.03K","0.47%"
"Jul 25, 2005","89.500","89.600","89.740","89.390","1.38K","-0.02%"
"Jul 22, 2005","89.520","88.810","89.580","88.820","3.18K","0.77%"
"Jul 21, 2005","88.840","89.200","89.350","88.300","4.45K","-0.40%"
"Jul 20, 2005","89.200","89.820","90.200","89.050","3.71K","-0.60%"
"Jul 19, 2005","89.740","89.510","90.280","89.500","2.11K","0.25%"
"Jul 18, 2005","89.520","89.630","89.670","89.220","0.58K","-0.11%"
"Jul 15, 2005","89.620","89.300","89.720","89.000","0.74K","0.39%"
"Jul 14, 2005","89.270","89.220","89.370","88.990","1.34K","0.11%"
"Jul 13, 2005","89.170","88.260","89.370","88.260","2.31K","1.01%"
"Jul 12, 2005","88.280","89.350","89.460","88.150","12.19K","-1.18%"
"Jul 11, 2005","89.330","90.100","90.100","89.270","2.17K","-0.91%"
"Jul 08, 2005","90.150","90.150","90.660","89.860","1.77K","-0.06%"
"Jul 07, 2005","90.200","90.220","90.380","89.600","2.08K","-0.06%"
"Jul 06, 2005","90.250","90.250","90.470","90.110","1.84K","-0.09%"
"Jul 05, 2005","90.330","90.520","90.600","90.160","1.68K","0.01%"
"Jul 04, 2005","90.320","90.150","90.400","90.170","0.25K","0.36%"
"Jul 01, 2005","90.000","89.010","90.130","88.980","6.22K","1.15%"
"Jun 30, 2005","88.980","88.940","89.250","88.860","1.19K","0.01%"
"Jun 29, 2005","88.970","88.910","89.350","88.730","2.51K","0.15%"
"Jun 28, 2005","88.840","88.330","88.940","88.300","1.18K","0.62%"
"Jun 27, 2005","88.290","88.620","88.620","88.210","1.32K","-0.46%"
"Jun 24, 2005","88.700","88.950","89.040","88.570","2.19K","-0.36%"
"Jun 23, 2005","89.020","88.500","89.030","88.370","2.74K","0.66%"
"Jun 22, 2005","88.440","88.100","88.630","87.930","1.47K","0.45%"
"Jun 21, 2005","88.040","88.360","88.820","88.000","3.71K","-0.36%"
"Jun 20, 2005","88.360","88.020","88.470","87.770","2.31K","0.91%"
"Jun 17, 2005","87.560","88.570","88.640","87.540","4.98K","-1.20%"
"Jun 16, 2005","88.620","88.550","88.850","88.180","2.45K","0.08%"
"Jun 15, 2005","88.550","89.150","89.220","88.400","3.04K","-0.68%"
"Jun 14, 2005","89.160","88.820","89.230","88.500","1.86K","-0.11%"
"Jun 13, 2005","89.260","88.680","89.260","88.760","0.20K","0.61%"
"Jun 10, 2005","88.720","88.020","88.790","87.900","1.25K","0.76%"
"Jun 09, 2005","88.050","87.850","88.300","87.790","2.47K","0.17%"
"Jun 08, 2005","87.900","87.480","88.070","87.120","4.20K","0.48%"
"Jun 07, 2005","87.480","87.630","87.820","87.320","2.79K","-0.14%"
"Jun 06, 2005","87.600","87.960","88.050","87.500","10.73K","-0.50%"
