DATE,A253RC1Q027SBEA
1947-01-01,15.728
1947-04-01,16.732
1947-07-01,16.792
1947-10-01,15.136
1948-01-01,14.576
1948-04-01,13.004
1948-07-01,13.128
1948-10-01,12.352
1949-01-01,13.676
1949-04-01,13.168
1949-07-01,11.884
1949-10-01,10.124
1950-01-01,9.624
1950-04-01,9.752
1950-07-01,10.18
1950-10-01,11.256
1951-01-01,12.508
1951-04-01,14.308
1951-07-01,15.096
1951-10-01,15.06
1952-01-01,15.416
1952-04-01,13.44
1952-07-01,12.4
1952-10-01,12.54
1953-01-01,12.132
1953-04-01,12.308
1953-07-01,12.864
1953-10-01,12.344
1954-01-01,11.588
1954-04-01,13.62
1954-07-01,12.9
1954-10-01,13.608
1955-01-01,14.18
1955-04-01,13.8
1955-07-01,14.78
1955-10-01,14.936
1956-01-01,15.9
1956-04-01,17.196
1956-07-01,18.052
1956-10-01,19.076
1957-01-01,20.64
1957-04-01,20.084
1957-07-01,19.416
1957-10-01,18.108
1958-01-01,16.56
1958-04-01,16.328
1958-07-01,16.448
1958-10-01,16.32
1959-01-01,15.552
1959-04-01,15.908
1959-07-01,17.504
1959-10-01,16.868
1960-01-01,19.54
1960-04-01,20.464
1960-07-01,20.928
1960-10-01,20.88
1961-01-01,21.2
1961-04-01,20.052
1961-07-01,20.996
1961-10-01,21.54
1962-01-01,21.192
1962-04-01,22.256
1962-07-01,22.264
1962-10-01,21.122
1963-01-01,21.29
1963-04-01,23.448
1963-07-01,23.764
1963-10-01,24.878
1964-01-01,26.148
1964-04-01,26.034
1964-07-01,26.988
1964-10-01,27.898
1965-01-01,24.484
1965-04-01,28.98
1965-07-01,28.116
1965-10-01,30.314
1966-01-01,30.658
1966-04-01,30.432
1966-07-01,30.974
1966-10-01,32.292
1967-01-01,32.889
1967-04-01,32.647
1967-07-01,31.954
1967-10-01,32.697
1968-01-01,33.966
1968-04-01,35.358
1968-07-01,37.106
1968-10-01,36.455
1969-01-01,32.063
1969-04-01,40.446
1969-07-01,39.96
1969-10-01,42.508
1970-01-01,43.416
1970-04-01,45.576
1970-07-01,45.274
1970-10-01,45.881
1971-01-01,46.517
1971-04-01,46.369
1971-07-01,49.021
1971-10-01,42.877
1972-01-01,50.44
1972-04-01,49.696
1972-07-01,52.52
1972-10-01,57.688
1973-01-01,65.224
1973-04-01,72.56
1973-07-01,77.236
1973-10-01,88.064
1974-01-01,95.116
1974-04-01,103.536
1974-07-01,103.664
1974-10-01,111.66
1975-01-01,114.936
1975-04-01,108.464
1975-07-01,109.792
1975-10-01,116.768
1976-01-01,117.016
1976-04-01,119.084
1976-07-01,122.7
1976-10-01,127.136
1977-01-01,126.324
1977-04-01,131.34
1977-07-01,130.636
1977-10-01,125.34
1978-01-01,129.845
1978-04-01,150.606
1978-07-01,153.627
1978-10-01,165.55
1979-01-01,170.867
1979-04-01,178.909
1979-07-01,191.253
1979-10-01,208.036
1980-01-01,221.979
1980-04-01,227.7
1980-07-01,232.517
1980-10-01,239.515
1981-01-01,247.244
1981-04-01,248.75
1981-07-01,241.701
1981-10-01,243.13
1982-01-01,232.305
1982-04-01,233.876
1982-07-01,218.518
1982-10-01,205.5
1983-01-01,209.694
1983-04-01,209.1
1983-07-01,214.318
1983-10-01,223.082
1984-01-01,224.345
1984-04-01,229.957
1984-07-01,234.401
1984-10-01,236.442
1985-01-01,232.103
1985-04-01,228.745
1985-07-01,222.172
1985-10-01,226.935
1986-01-01,224.487
1986-04-01,227.868
1986-07-01,229.819
1986-10-01,243.612
1987-01-01,242.984
1987-04-01,258.804
1987-07-01,272.079
1987-10-01,288.348
1988-01-01,311.241
1988-04-01,328.498
1988-07-01,338.686
1988-10-01,349.792
1989-01-01,360.484
1989-04-01,379.59
1989-07-01,379.039
1989-10-01,379.887
1990-01-01,396.228
1990-04-01,400.633
1990-07-01,406.337
1990-10-01,409.862
1991-01-01,420.656
1991-04-01,427.097
1991-07-01,431.63
1991-10-01,441.158
1992-01-01,449.682
1992-04-01,448.789
1992-07-01,460.554
1992-10-01,462.207
1993-01-01,460.366
1993-04-01,466.912
1993-07-01,462.555
1993-10-01,481.06
1994-01-01,484.124
1994-04-01,505.253
1994-07-01,533.801
1994-10-01,550.305
1995-01-01,571.566
1995-04-01,583.183
1995-07-01,605.751
1995-10-01,609.266
1996-01-01,617.146
1996-04-01,621.187
1996-07-01,626.468
1996-10-01,650.337
1997-01-01,668.863
1997-04-01,700.974
1997-07-01,717.535
1997-10-01,712.176
1998-01-01,708.166
1998-04-01,683.706
1998-07-01,676.575
1998-10-01,701.814
1999-01-01,687.945
1999-04-01,697.321
1999-07-01,717.941
1999-10-01,743.688
2000-01-01,761.318
2000-04-01,789.078
2000-07-01,820.71
2000-10-01,809.11
2001-01-01,796.274
2001-04-01,759.635
2001-07-01,713.103
2001-10-01,689.26
2002-01-01,685.521
2002-04-01,712.087
2002-07-01,722.396
2002-10-01,706.324
2003-01-01,715.914
2003-04-01,716.648
2003-07-01,731.79
2003-10-01,771.145
2004-01-01,796.971
2004-04-01,822.123
2004-07-01,834.887
2004-10-01,857.918
2005-01-01,883.706
2005-04-01,917.269
2005-07-01,921.424
2005-10-01,954.977
2006-01-01,1002.764
2006-04-01,1034.443
2006-07-01,1051.903
2006-10-01,1083.226
2007-01-01,1105.493
2007-04-01,1136.432
2007-07-01,1176.013
2007-10-01,1220.998
2008-01-01,1273.676
2008-04-01,1351.521
2008-07-01,1371.161
2008-10-01,1167.742
2009-01-01,1004.707
2009-04-01,1004.492
2009-07-01,1067.092
2009-10-01,1153.274
2010-01-01,1200.191
2010-04-01,1250.419
2010-07-01,1283.042
2010-10-01,1358.029
2011-01-01,1415.217
2011-04-01,1468.785
2011-07-01,1489.634
