DATE,A646RC1Q027SBEA
1947-01-01,2.666
1947-04-01,2.765
1947-07-01,2.641
1947-10-01,2.5
1948-01-01,2.341
1948-04-01,2.237
1948-07-01,2.277
1948-10-01,2.273
1949-01-01,2.406
1949-04-01,2.479
1949-07-01,2.231
1949-10-01,1.967
1950-01-01,2.08
1950-04-01,2.12
1950-07-01,2.113
1950-10-01,2.275
1951-01-01,2.535
1951-04-01,2.813
1951-07-01,2.956
1951-10-01,3.12
1952-01-01,3.263
1952-04-01,3.141
1952-07-01,2.846
1952-10-01,2.789
1953-01-01,2.996
1953-04-01,2.888
1953-07-01,2.891
1953-10-01,2.828
1954-01-01,2.836
1954-04-01,2.818
1954-07-01,2.978
1954-10-01,2.997
1955-01-01,3.093
1955-04-01,3.142
1955-07-01,3.365
1955-10-01,3.413
1956-01-01,3.465
1956-04-01,3.686
1956-07-01,3.77
1956-10-01,3.992
1957-01-01,4.279
1957-04-01,4.285
1957-07-01,4.343
1957-10-01,4.914
1958-01-01,3.974
1958-04-01,4.218
1958-07-01,4.147
1958-10-01,4.243
1959-01-01,6.363
1959-04-01,5.868
1959-07-01,6.575
1959-10-01,6.263
1960-01-01,6.605
1960-04-01,6.386
1960-07-01,6.633
1960-10-01,6.742
1961-01-01,6.36
1961-04-01,6.575
1961-07-01,6.783
1961-10-01,6.902
1962-01-01,7.133
1962-04-01,7.406
1962-07-01,7.329
1962-10-01,7.561
1963-01-01,7.871
1963-04-01,8.0
1963-07-01,7.451
1963-10-01,7.596
1964-01-01,8.044
1964-04-01,7.996
1964-07-01,8.387
1964-10-01,8.582
1965-01-01,8.485
1965-04-01,9.387
1965-07-01,9.435
1965-10-01,9.384
1966-01-01,8.698
1966-04-01,10.44
1966-07-01,9.883
1966-10-01,10.302
1967-01-01,10.997
1967-04-01,10.592
1967-07-01,10.892
1967-10-01,11.199
1968-01-01,11.486
1968-04-01,11.807
1968-07-01,12.785
1968-10-01,12.661
1969-01-01,11.979
1969-04-01,13.329
1969-07-01,13.636
1969-10-01,13.767
1970-01-01,13.614
1970-04-01,14.835
1970-07-01,15.245
1970-10-01,14.992
1971-01-01,16.704
1971-04-01,16.525
1971-07-01,16.696
1971-10-01,17.142
1972-01-01,18.199
1972-04-01,17.456
1972-07-01,18.933
1972-10-01,18.441
1973-01-01,18.735
1973-04-01,19.363
1973-07-01,20.34
1973-10-01,19.556
1974-01-01,21.593
1974-04-01,23.132
1974-07-01,22.974
1974-10-01,24.925
1975-01-01,26.433
1975-04-01,28.363
1975-07-01,24.306
1975-10-01,25.763
1976-01-01,26.572
1976-04-01,27.537
1976-07-01,29.075
1976-10-01,28.94
1977-01-01,29.03
1977-04-01,30.566
1977-07-01,31.689
1977-10-01,32.469
1978-01-01,34.756
1978-04-01,35.609
1978-07-01,37.675
1978-10-01,39.865
1979-01-01,40.802
1979-04-01,41.999
1979-07-01,43.024
1979-10-01,45.628
1980-01-01,46.529
1980-04-01,49.689
1980-07-01,52.156
1980-10-01,53.002
1981-01-01,58.224
1981-04-01,59.705
1981-07-01,60.637
1981-10-01,61.565
1982-01-01,60.896
1982-04-01,60.852
1982-07-01,61.116
1982-10-01,59.774
1983-01-01,61.009
1983-04-01,63.414
1983-07-01,63.863
1983-10-01,63.504
1984-01-01,68.63
1984-04-01,72.243
1984-07-01,71.344
1984-10-01,72.162
1985-01-01,73.907
1985-04-01,75.381
1985-07-01,75.102
1985-10-01,78.498
1986-01-01,88.916
1986-04-01,87.25
1986-07-01,90.652
1986-10-01,91.388
1987-01-01,93.467
1987-04-01,96.556
1987-07-01,99.775
1987-10-01,103.759
1988-01-01,107.486
1988-04-01,110.973
1988-07-01,114.9
1988-10-01,116.828
1989-01-01,124.705
1989-04-01,127.639
1989-07-01,130.313
1989-10-01,135.5
1990-01-01,142.004
1990-04-01,145.292
1990-07-01,148.812
1990-10-01,158.324
1991-01-01,152.521
1991-04-01,163.636
1991-07-01,168.965
1991-10-01,174.059
1992-01-01,175.605
1992-04-01,177.374
1992-07-01,178.811
1992-10-01,179.189
1993-01-01,183.24
1993-04-01,186.182
1993-07-01,188.342
1993-10-01,190.54
1994-01-01,197.108
1994-04-01,201.735
1994-07-01,203.082
1994-10-01,208.341
1995-01-01,210.004
1995-04-01,215.668
1995-07-01,225.648
1995-10-01,230.155
1996-01-01,230.794
1996-04-01,237.855
1996-07-01,233.109
