DATE,DGDSRC1Q027SBEA
1947-01-01,95.594
1947-04-01,98.248
1947-07-01,100.419
1947-10-01,103.453
1948-01-01,105.093
1948-04-01,107.188
1948-07-01,108.741
1948-10-01,108.657
1949-01-01,107.167
1949-04-01,108.282
1949-07-01,107.569
1949-10-01,109.305
1950-01-01,110.8
1950-04-01,112.587
1950-07-01,123.987
1950-10-01,119.944
1951-01-01,127.605
1951-04-01,122.18
1951-07-01,123.364
1951-10-01,125.845
1952-01-01,125.538
1952-04-01,127.608
1952-07-01,127.941
1952-10-01,134.055
1953-01-01,135.704
1953-04-01,135.574
1953-07-01,134.42
1953-10-01,133.642
1954-01-01,134.172
1954-04-01,134.97
1954-07-01,135.429
1954-10-01,138.495
1955-01-01,142.939
1955-04-01,146.831
1955-07-01,149.363
1955-10-01,150.459
1956-01-01,150.216
1956-04-01,151.111
1956-07-01,152.117
1956-10-01,155.173
1957-01-01,158.014
1957-04-01,158.649
1957-07-01,161.229
1957-10-01,160.519
1958-01-01,159.257
1958-04-01,159.819
1958-07-01,162.422
1958-10-01,164.773
1959-01-01,169.723
1959-04-01,172.617
1959-07-01,174.524
1959-10-01,173.564
1960-01-01,175.06
1960-04-01,178.396
1960-07-01,177.503
1960-10-01,177.103
1961-01-01,175.641
1961-04-01,177.564
1961-07-01,179.176
1961-10-01,182.85
1962-01-01,185.534
1962-04-01,187.792
1962-07-01,189.527
1962-10-01,193.023
1963-01-01,195.047
1963-04-01,196.685
1963-07-01,199.868
1963-10-01,201.018
1964-01-01,206.646
1964-04-01,210.932
1964-07-01,216.255
1964-10-01,215.177
1965-01-01,222.676
1965-04-01,225.586
1965-07-01,230.769
1965-10-01,239.671
1966-01-01,246.406
1966-04-01,246.958
1966-07-01,252.093
1966-10-01,253.02
1967-01-01,253.477
1967-04-01,258.504
1967-07-01,260.475
1967-10-01,263.506
1968-01-01,274.394
1968-04-01,280.853
1968-07-01,290.386
1968-10-01,292.833
1969-01-01,298.845
1969-04-01,302.664
1969-07-01,306.616
1969-10-01,310.588
1970-01-01,314.095
1970-04-01,317.554
1970-07-01,321.727
1970-10-01,321.8
1971-01-01,333.88
1971-04-01,339.82
1971-07-01,343.866
1971-10-01,350.896
1972-01-01,357.744
1972-04-01,368.368
1972-07-01,377.675
1972-10-01,391.473
1973-01-01,407.267
1973-04-01,412.681
1973-07-01,420.716
1973-10-01,425.877
1974-01-01,435.505
