DATE,A255RC1Q027SBEA
1947-01-01,5.612
1947-04-01,6.292
1947-07-01,5.828
1947-10-01,6.16
1948-01-01,7.34
1948-04-01,7.644
1948-07-01,7.708
1948-10-01,7.536
1949-01-01,7.164
1949-04-01,6.852
1949-07-01,6.62
1949-10-01,6.86
1950-01-01,7.184
1950-04-01,7.808
1950-07-01,10.464
1950-10-01,10.868
1951-01-01,11.772
1951-04-01,12.04
1951-07-01,10.808
1951-10-01,10.084
1952-01-01,10.696
1952-04-01,10.604
1952-07-01,10.768
1952-10-01,11.284
1953-01-01,10.988
1953-04-01,11.516
1953-07-01,11.152
1953-10-01,10.244
1954-01-01,9.976
1954-04-01,11.048
1954-07-01,10.224
1954-10-01,10.164
1955-01-01,11.104
1955-04-01,11.232
1955-07-01,11.296
1955-10-01,12.476
1956-01-01,13.02
1956-04-01,12.692
1956-07-01,12.62
1956-10-01,12.88
1957-01-01,13.188
1957-04-01,13.376
1957-07-01,13.06
1957-10-01,13.54
1958-01-01,12.58
1958-04-01,12.668
1958-07-01,12.78
1958-10-01,13.78
1959-01-01,14.484
1959-04-01,15.532
1959-07-01,15.796
1959-10-01,15.428
1960-01-01,15.7
1960-04-01,15.888
1960-07-01,15.056
1960-10-01,14.236
1961-01-01,14.064
1961-04-01,14.256
1961-07-01,15.76
1961-10-01,16.132
1962-01-01,16.44
1962-04-01,16.92
1962-07-01,17.084
1962-10-01,17.032
1963-01-01,16.916
1963-04-01,17.568
1963-07-01,18.152
1963-10-01,18.216
1964-01-01,18.344
1964-04-01,19.08
1964-07-01,19.72
1964-10-01,20.424
1965-01-01,19.552
1965-04-01,22.436
1965-07-01,22.808
1965-10-01,24.192
1966-01-01,24.852
1966-04-01,25.612
1966-07-01,27.16
1966-10-01,27.712
1967-01-01,27.704
1967-04-01,26.796
1967-07-01,27.012
1967-10-01,29.532
1968-01-01,32.116
1968-04-01,33.152
1968-07-01,35.408
1968-10-01,35.108
1969-01-01,30.772
1969-04-01,39.116
1969-07-01,38.536
1969-10-01,38.828
1970-01-01,39.348
1970-04-01,40.068
1970-07-01,41.18
1970-10-01,42.824
1971-01-01,43.376
1971-04-01,47.44
1971-07-01,49.64
1971-10-01,45.744
1972-01-01,55.092
1972-04-01,54.092
1972-07-01,57.288
1972-10-01,61.264
1973-01-01,66.46
1973-04-01,70.04
1973-07-01,72.1
1973-10-01,78.772
1974-01-01,88.832
1974-04-01,106.388
1974-07-01,110.6
1974-10-01,112.26
1975-01-01,100.936
1975-04-01,92.264
1975-07-01,98.772
1975-10-01,104.028
1976-01-01,113.54
1976-04-01,121.324
1976-07-01,128.92
1976-10-01,134.744
1977-01-01,147.624
1977-04-01,153.15
1977-07-01,153.171
1977-10-01,156.571
1978-01-01,170.334
1978-04-01,175.132
1978-07-01,179.406
1978-10-01,184.765
1979-01-01,192.183
1979-04-01,204.074
1979-07-01,216.774
1979-10-01,238.117
1980-01-01,259.654
1980-04-01,248.469
1980-07-01,234.147
1980-10-01,252.012
1981-01-01,270.186
1981-04-01,271.773
1981-07-01,260.494
1981-10-01,268.804
1982-01-01,257.624
1982-04-01,245.844
1982-07-01,257.204
1982-10-01,241.496
1983-01-01,242.509
1983-04-01,262.76
1983-07-01,285.851
1983-10-01,299.59
1984-01-01,322.454
1984-04-01,337.925
1984-07-01,339.857
1984-10-01,345.028
1985-01-01,325.388
1985-04-01,344.425
1985-07-01,340.521
1985-10-01,362.844
1986-01-01,357.705
1986-04-01,365.1
1986-07-01,374.757
1986-10-01,382.462
1987-01-01,389.536
1987-04-01,409.062
1987-07-01,422.798
1987-10-01,437.677
1988-01-01,441.487
1988-04-01,445.679
1988-07-01,451.121
1988-10-01,470.214
1989-01-01,481.986
1989-04-01,490.713
1989-07-01,477.447
1989-10-01,489.02
1990-01-01,510.376
1990-04-01,495.803
1990-07-01,506.283
1990-10-01,519.82
1991-01-01,496.967
1991-04-01,491.023
1991-07-01,500.436
