DATE,B656RC1Q027SBEA
1947-01-01,1.907
1947-04-01,1.911
1947-07-01,1.835
1947-10-01,2.187
1948-01-01,2.284
1948-04-01,2.392
1948-07-01,2.748
1948-10-01,2.588
1949-01-01,2.44
1949-04-01,2.512
1949-07-01,2.316
1949-10-01,2.232
1950-01-01,2.317
1950-04-01,2.421
1950-07-01,2.569
1950-10-01,2.817
1951-01-01,3.094
1951-04-01,3.138
1951-07-01,3.502
1951-10-01,3.906
1952-01-01,4.262
1952-04-01,4.026
1952-07-01,4.482
1952-10-01,5.058
1953-01-01,4.807
1953-04-01,4.931
1953-07-01,5.155
1953-10-01,5.263
1954-01-01,4.804
1954-04-01,5.136
1954-07-01,5.08
1954-10-01,5.296
1955-01-01,5.065
1955-04-01,5.865
1955-07-01,6.125
1955-10-01,5.633
1956-01-01,5.905
1956-04-01,6.281
1956-07-01,6.633
1956-10-01,5.661
1957-01-01,6.912
1957-04-01,6.894
1957-07-01,6.702
1957-10-01,6.094
1958-01-01,6.875
1958-04-01,7.407
1958-07-01,6.959
1958-10-01,7.043
1959-01-01,6.912
1959-04-01,7.012
1959-07-01,7.072
1959-10-01,7.076
1960-01-01,7.588
1960-04-01,7.567
1960-07-01,7.823
1960-10-01,7.506
1961-01-01,7.594
1961-04-01,7.643
1961-07-01,7.566
1961-10-01,7.738
1962-01-01,7.874
1962-04-01,7.964
1962-07-01,8.027
1962-10-01,8.518
1963-01-01,8.269
1963-04-01,8.322
1963-07-01,8.552
1963-10-01,8.548
1964-01-01,8.634
1964-04-01,8.646
1964-07-01,8.709
1964-10-01,8.861
1965-01-01,8.905
1965-04-01,9.243
1965-07-01,9.222
1965-10-01,9.756
1966-01-01,10.138
1966-04-01,10.628
1966-07-01,11.011
1966-10-01,11.117
1967-01-01,11.728
1967-04-01,12.224
1967-07-01,12.531
1967-10-01,12.12
1968-01-01,12.283
1968-04-01,12.264
1968-07-01,12.832
1968-10-01,13.062
1969-01-01,13.032
1969-04-01,13.555
1969-07-01,13.829
1969-10-01,14.298
1970-01-01,14.169
1970-04-01,15.136
1970-07-01,15.251
1970-10-01,15.064
1971-01-01,15.275
1971-04-01,15.856
1971-07-01,15.842
1971-10-01,16.195
1972-01-01,17.081
1972-04-01,17.317
1972-07-01,16.802
1972-10-01,17.926
1973-01-01,18.9
1973-04-01,19.428
1973-07-01,19.039
1973-10-01,19.897
1974-01-01,21.483
1974-04-01,22.994
1974-07-01,23.01
1974-10-01,24.292
1975-01-01,23.952
1975-04-01,22.981
1975-07-01,23.283
1975-10-01,24.702
1976-01-01,25.398
