DATE,FNDEFX
1947-01-01,4.166
1947-04-01,5.319
1947-07-01,5.053
1947-10-01,4.115
1948-01-01,4.666
1948-04-01,6.03
1948-07-01,6.769
1948-10-01,7.15
1949-01-01,7.72
1949-04-01,8.49
1949-07-01,7.93
1949-10-01,8.188
1950-01-01,7.654
1950-04-01,7.973
1950-07-01,5.732
1950-10-01,5.715
1951-01-01,6.035
1951-04-01,6.338
1951-07-01,6.222
1951-10-01,6.437
1952-01-01,7.409
1952-04-01,7.088
1952-07-01,7.503
1952-10-01,7.61
1953-01-01,8.353
1953-04-01,9.975
1953-07-01,9.004
1953-10-01,9.229
1954-01-01,9.408
1954-04-01,8.478
1954-07-01,8.137
1954-10-01,9.206
1955-01-01,8.364
1955-04-01,8.982
1955-07-01,8.847
1955-10-01,8.417
1956-01-01,8.231
1956-04-01,8.574
1956-07-01,7.706
1956-10-01,8.116
1957-01-01,9.061
1957-04-01,7.885
1957-07-01,7.688
1957-10-01,9.417
1958-01-01,7.897
1958-04-01,9.572
1958-07-01,9.252
1958-10-01,10.483
1959-01-01,11.23
1959-04-01,13.29
1959-07-01,13.134
1959-10-01,12.88
1960-01-01,10.957
1960-04-01,11.544
1960-07-01,12.198
1960-10-01,13.197
1961-01-01,11.888
1961-04-01,12.817
1961-07-01,13.175
1961-10-01,13.464
1962-01-01,14.167
1962-04-01,15.211
1962-07-01,16.573
1962-10-01,17.318
1963-01-01,16.82
1963-04-01,16.868
1963-07-01,19.03
1963-10-01,18.773
1964-01-01,19.702
1964-04-01,20.75
1964-07-01,20.694
1964-10-01,20.967
1965-01-01,21.462
1965-04-01,21.953
1965-07-01,23.319
1965-10-01,23.718
1966-01-01,23.722
1966-04-01,24.875
1966-07-01,24.321
1966-10-01,23.498
1967-01-01,25.703
1967-04-01,24.419
1967-07-01,24.302
1967-10-01,25.465
1968-01-01,25.947
1968-04-01,25.639
1968-07-01,27.068
1968-10-01,27.769
1969-01-01,28.346
1969-04-01,28.922
1969-07-01,29.944
1969-10-01,29.291
1970-01-01,30.723
1970-04-01,32.156
1970-07-01,32.446
1970-10-01,33.054
1971-01-01,33.869
1971-04-01,36.412
1971-07-01,38.171
1971-10-01,37.481
1972-01-01,40.055
1972-04-01,40.925
1972-07-01,41.036
1972-10-01,41.711
1973-01-01,42.918
1973-04-01,43.162
1973-07-01,43.746
1973-10-01,44.374
1974-01-01,46.492
1974-04-01,46.05
1974-07-01,50.083
1974-10-01,53.136
