"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2009","1,182.30","1,182.00","1,185.00","1,165.00","174.37K","0.58%"
"11/27/2009","1,175.50","1,194.60","1,196.80","1,135.80","275.93K","0.00%"
"11/26/2009","1,175.50","1,194.60","1,196.80","1,135.80","275.93K","-0.97%"
"11/25/2009","1,187.00","1,169.60","1,192.80","1,166.80","205.51K","1.82%"
"11/24/2009","1,165.80","1,164.40","1,171.70","1,157.70","254.52K","0.09%"
"11/23/2009","1,164.70","1,152.00","1,174.00","1,151.60","227.82K","1.56%"
"11/20/2009","1,146.80","1,145.00","1,151.50","1,132.50","173.74K","0.43%"
"11/19/2009","1,141.90","1,144.00","1,146.50","1,130.00","194.98K","0.06%"
"11/18/2009","1,141.20","1,140.90","1,153.40","1,136.00","180.28K","0.16%"
"11/17/2009","1,139.40","1,140.10","1,142.00","1,127.80","143.71K","0.02%"
"11/16/2009","1,139.20","1,119.60","1,144.20","1,119.50","188.59K","2.01%"
"11/13/2009","1,116.70","1,103.30","1,119.70","1,101.20","149.13K","0.91%"
"11/12/2009","1,106.60","1,117.20","1,123.40","1,102.70","168.53K","-0.72%"
"11/11/2009","1,114.60","1,106.00","1,119.10","1,105.60","153.62K","1.10%"
"11/10/2009","1,102.50","1,103.70","1,109.70","1,097.20","146.66K","0.10%"
"11/09/2009","1,101.40","1,098.00","1,111.70","1,096.00","137.53K","0.52%"
"11/06/2009","1,095.70","1,090.60","1,101.90","1,086.50","159.85K","0.59%"
"11/05/2009","1,089.30","1,094.10","1,095.20","1,084.30","111.07K","0.18%"
"11/04/2009","1,087.30","1,085.60","1,098.50","1,080.50","190.85K","0.22%"
"11/03/2009","1,084.90","1,060.40","1,088.50","1,055.50","208.68K","2.93%"
"11/02/2009","1,054.00","1,043.40","1,063.40","1,042.20","132.63K","1.31%"
"10/30/2009","1,040.40","1,047.10","1,049.20","1,035.40","129.46K","-0.64%"
"10/29/2009","1,047.10","1,027.70","1,048.40","1,026.90","130.08K","1.61%"
"10/28/2009","1,030.50","1,040.00","1,042.60","1,026.90","152.92K","-0.47%"
"10/27/2009","1,035.40","1,038.50","1,044.30","1,032.90","153.19K","-0.71%"
"10/26/2009","1,042.80","1,055.50","1,060.80","1,038.10","162.32K","-1.29%"
"10/23/2009","1,056.40","1,061.10","1,068.80","1,050.40","153.87K","-0.21%"
"10/22/2009","1,058.60","1,059.50","1,062.70","1,052.00","110.65K","-0.55%"
"10/21/2009","1,064.50","1,050.00","1,065.70","1,048.10","140.36K","0.56%"
