Date,GAS,Vol.GAS,PETROLIO,RAME,Vol.RAME,ORO,Vol.ORO,NASDAQ,Vol.NASDAQ,S&P500,DJI,Vol.DJI,USDCHF,USDJPY,USDEUR,USDGBP,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,30 Yr,VIX,DollarIndex,Vol.DollarIndex,CPI_MoM,CPI_YoY,ChangeInPrivateInventories,DurableGoods,Equipment,Exports,ExportsGoods,ExportsServices,Federal,FixedInvestment,GDP,Goods,GovernmentConsumptionExpendituresAndGrossInvestment,GrossPrivateDomesticInvestment,Imports,ImportsGoods,ImportsServices,IntellectualPropertyProducts,NationalDefense,NetExportsOfGoodsAndServices,NonDefense,NondurableGoods,NonResidentials,PersonalConsumptionExpenditures,Residential,Services,StateAndLocal,Structures,UR,CCI
1990-04-04,1.62,80.0,19.78,1.1515,50.0,381.8,20190.0,435.399994,138380000.0,341.1,2719.37,21250.0,1.5052,159.03,0.8098,0.6088,8.01,8.17,8.27,8.54,8.59,8.56,8.62,8.55,8.52,22.03,94.46,780.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.3,100.7546
1990-04-05,1.615,60.0,19.43,1.1465,20.0,379.3,27530.0,433.420013,134240000.0,340.7,2721.17,13640.0,1.5005,157.38,0.8107,0.6089,8.02,8.18,8.28,8.54,8.6,8.57,8.63,8.57,8.52,21.21,94.37,390.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.2,100.7546
1990-04-06,1.625,60.0,19.15,1.1685,10.0,385.2,27040.0,430.899994,136570000.0,340.1,2717.12,12190.0,1.5005,157.67,0.8082,0.6102,8.02,8.16,8.26,8.52,8.58,8.55,8.61,8.56,8.52,21.76,94.12,2130.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-09,1.637,40.0,18.44,1.127,0.0,380.4,26190.0,430.200012,112370000.0,341.4,2722.07,10490.0,1.4962,158.22,0.8061,0.6099,8.09,8.23,8.29,8.54,8.6,8.58,8.65,8.59,8.55,22.3,94.18,2330.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-10,1.62,30.0,17.68,1.154,0.0,379.3,21920.0,431.899994,129500000.0,342.1,2731.08,13130.0,1.483,157.75,0.8063,0.6119,8.05,8.21,8.29,8.54,8.59,8.58,8.65,8.6,8.57,21.69,93.28,4010.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-11,1.605,30.0,18.06,1.146,0.0,378.4,19320.0,433.5,133820000.0,341.9,2729.73,15760.0,1.479,158.05,0.7986,0.6086,8.03,8.2,8.28,8.56,8.62,8.6,8.63,8.63,8.58,17.73,93.23,1840.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-12,1.598,40.0,17.78,1.1285,0.0,379.7,12630.0,436.299988,141410000.0,344.3,2751.8,13000.0,1.482,158.15,0.7979,0.6085,8.02,8.2,8.29,8.57,8.63,8.62,8.65,8.64,8.6,19.8,93.19,860.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-13,1.598,40.0,17.78,1.1285,0.0,379.7,12630.0,436.299988,141410000.0,344.3,2751.8,13000.0,1.4838,158.69,0.7979,0.6085,8.02,8.2,8.29,8.57,8.63,8.62,8.65,8.64,8.6,19.8,93.19,860.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-16,1.598,20.0,17.85,1.125,0.0,378.9,13380.0,436.700012,124650000.0,344.7,2763.06,19550.0,1.4885,159.37,0.7979,0.6085,8.01,8.18,8.29,8.61,8.66,8.65,8.69,8.68,8.64,20.75,93.62,520.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
1990-04-17,1.585,30.0,17.44,1.125,60.0,378.8,18700.0,435.399994,136450000.0,344.7,2765.77,14620.0,1.49,159.88,0.8013,0.6136,8.03,8.23,8.38,8.7,8.75,8.73,8.78,8.77,8.74,20.38,93.58,1520.0,0.2,4.7,-1.24,21.351,15.226,19.497,16.732,2.765,26.424,35.744,245.968,98.248,40.138,34.505,8.203,6.292,1.911,1.998,21.105,11.294,5.319,76.897,25.171,160.031,10.573,61.783,13.714,7.947,5.4,100.7546
