"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2018","0.7909","0.7922","0.7932","0.7870","","-0.14%"
"12/17/2018","0.7920","0.7943","0.7956","0.7907","","-0.33%"
"12/14/2018","0.7946","0.7902","0.7982","0.7890","","0.57%"
"12/13/2018","0.7901","0.7916","0.7932","0.7883","","-0.23%"
"12/12/2018","0.7919","0.8010","0.8014","0.7892","","-1.10%"
"12/11/2018","0.8007","0.7963","0.8014","0.7913","","0.59%"
"12/10/2018","0.7960","0.7856","0.7996","0.7837","","1.32%"
"12/07/2018","0.7856","0.7822","0.7869","0.7804","","0.43%"
"12/06/2018","0.7822","0.7854","0.7876","0.7805","","-0.39%"
"12/05/2018","0.7853","0.7860","0.7893","0.7813","","-0.11%"
"12/04/2018","0.7862","0.7860","0.7900","0.7788","","0.04%"
"12/03/2018","0.7859","0.7832","0.7875","0.7796","","0.26%"
"11/30/2018","0.7839","0.7817","0.7853","0.7806","","0.31%"
"11/29/2018","0.7815","0.7799","0.7841","0.7782","","0.23%"
"11/28/2018","0.7797","0.7846","0.7855","0.7783","","-0.59%"
"11/27/2018","0.7843","0.7792","0.7860","0.7792","","0.65%"
"11/26/2018","0.7792","0.7780","0.7814","0.7772","","-0.15%"
"11/23/2018","0.7804","0.7765","0.7814","0.7761","","0.50%"
"11/22/2018","0.7765","0.7826","0.7832","0.7734","","-0.78%"
"11/21/2018","0.7826","0.7821","0.7835","0.7800","","0.08%"
"11/20/2018","0.7820","0.7780","0.7828","0.7761","","0.49%"
"11/19/2018","0.7782","0.7795","0.7815","0.7762","","-0.09%"
"11/16/2018","0.7789","0.7827","0.7837","0.7765","","-0.42%"
"11/15/2018","0.7822","0.7698","0.7860","0.7675","","1.66%"
"11/14/2018","0.7694","0.7705","0.7762","0.7651","","-0.19%"
"11/13/2018","0.7709","0.7782","0.7789","0.7664","","-0.95%"
"11/12/2018","0.7783","0.7717","0.7797","0.7712","","1.00%"
"11/09/2018","0.7706","0.7658","0.7719","0.7644","","0.65%"
"11/08/2018","0.7656","0.7617","0.7665","0.7603","","0.50%"
"11/07/2018","0.7618","0.7635","0.7650","0.7590","","-0.21%"
"11/06/2018","0.7634","0.7667","0.7680","0.7629","","-0.46%"
"11/05/2018","0.7669","0.7676","0.7713","0.7654","","-0.52%"
"11/02/2018","0.7709","0.7687","0.7722","0.7668","","0.33%"
"11/01/2018","0.7684","0.7834","0.7837","0.7671","","-1.90%"
"10/31/2018","0.7833","0.7868","0.7874","0.7792","","-0.47%"
"10/30/2018","0.7870","0.7818","0.7878","0.7805","","0.69%"
"10/29/2018","0.7816","0.7795","0.7817","0.7779","","0.31%"
"10/26/2018","0.7792","0.7802","0.7827","0.7788","","-0.13%"
"10/25/2018","0.7802","0.7761","0.7815","0.7739","","0.50%"
"10/24/2018","0.7763","0.7702","0.7772","0.7694","","0.79%"
"10/23/2018","0.7702","0.7712","0.7730","0.7665","","-0.16%"
"10/22/2018","0.7714","0.7652","0.7719","0.7638","","0.84%"
"10/19/2018","0.7650","0.7681","0.7686","0.7631","","-0.40%"
"10/18/2018","0.7681","0.7625","0.7682","0.7614","","0.73%"
"10/17/2018","0.7625","0.7587","0.7634","0.7579","","0.55%"
"10/16/2018","0.7583","0.7603","0.7611","0.7554","","-0.26%"
"10/15/2018","0.7603","0.7611","0.7647","0.7587","","0.03%"
"10/12/2018","0.7601","0.7554","0.7605","0.7540","","0.60%"
"10/11/2018","0.7556","0.7578","0.7586","0.7548","","-0.29%"
"10/10/2018","0.7578","0.7608","0.7614","0.7566","","-0.39%"
"10/09/2018","0.7608","0.7640","0.7673","0.7604","","-0.42%"
"10/08/2018","0.7640","0.7630","0.7677","0.7613","","0.26%"
"10/05/2018","0.7620","0.7680","0.7691","0.7618","","-0.78%"
"10/04/2018","0.7680","0.7728","0.7739","0.7667","","-0.62%"
"10/03/2018","0.7728","0.7705","0.7738","0.7678","","0.30%"
"10/02/2018","0.7705","0.7667","0.7728","0.7658","","0.50%"
"10/01/2018","0.7667","0.7673","0.7686","0.7626","","-0.09%"
"09/28/2018","0.7674","0.7644","0.7692","0.7640","","0.38%"
"09/27/2018","0.7645","0.7593","0.7649","0.7583","","0.66%"
"09/26/2018","0.7595","0.7581","0.7612","0.7565","","0.13%"
"09/25/2018","0.7585","0.7621","0.7637","0.7578","","-0.49%"
"09/24/2018","0.7622","0.7652","0.7660","0.7595","","-0.33%"
"09/21/2018","0.7647","0.7536","0.7660","0.7531","","1.45%"
"09/20/2018","0.7538","0.7608","0.7614","0.7520","","-0.92%"
"09/19/2018","0.7608","0.7606","0.7636","0.7567","","0.04%"
"09/18/2018","0.7605","0.7599","0.7622","0.7591","","0.07%"
"09/17/2018","0.7600","0.7653","0.7653","0.7595","","-0.69%"
"09/14/2018","0.7653","0.7630","0.7660","0.7608","","0.30%"
"09/13/2018","0.7630","0.7664","0.7678","0.7620","","-0.44%"
"09/12/2018","0.7664","0.7672","0.7705","0.7644","","-0.09%"
"09/11/2018","0.7671","0.7677","0.7712","0.7641","","-0.08%"
"09/10/2018","0.7677","0.7731","0.7755","0.7661","","-0.80%"
"09/07/2018","0.7739","0.7732","0.7749","0.7675","","0.09%"
"09/06/2018","0.7732","0.7750","0.7755","0.7715","","-0.22%"
"09/05/2018","0.7749","0.7779","0.7823","0.7702","","-0.39%"
"09/04/2018","0.7779","0.7772","0.7808","0.7763","","0.13%"
"09/03/2018","0.7769","0.7709","0.7779","0.7709","","0.73%"
"08/31/2018","0.7713","0.7687","0.7725","0.7674","","0.36%"
"08/30/2018","0.7685","0.7677","0.7703","0.7667","","0.10%"
"08/29/2018","0.7677","0.7766","0.7786","0.7672","","-1.13%"
"08/28/2018","0.7765","0.7755","0.7776","0.7732","","0.12%"
"08/27/2018","0.7756","0.7788","0.7795","0.7751","","-0.31%"
"08/24/2018","0.7780","0.7801","0.7814","0.7763","","-0.28%"
"08/23/2018","0.7802","0.7744","0.7811","0.7740","","0.74%"
"08/22/2018","0.7745","0.7752","0.7772","0.7730","","-0.08%"
"08/21/2018","0.7751","0.7814","0.7817","0.7736","","-0.81%"
"08/20/2018","0.7814","0.7848","0.7856","0.7812","","-0.36%"
"08/17/2018","0.7842","0.7864","0.7876","0.7841","","-0.25%"
"08/16/2018","0.7862","0.7876","0.7884","0.7841","","-0.17%"
"08/15/2018","0.7875","0.7856","0.7898","0.7848","","0.20%"
"08/14/2018","0.7859","0.7832","0.7873","0.7795","","0.34%"
